"部門コード","部門名","商品コード","商品名","仕様・規格","単位","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"DNK-E","電力機器事業部","E-00002768","NF32-SV 2P 15A (U)","","個","2022/10","18320","18320","11844","14.0000","14.0000","3","6476","35.3"
"DNK-E","電力機器事業部","E-00002768","NF32-SV 2P 15A (U)","","個","2022/12","1340","1340","846","1.0000","1.0000","1","494","36.9"
"DNK-E","電力機器事業部","E-00002768","NF32-SV 2P 15A (U)","","個","2023/01","1270","1270","846","1.0000","1.0000","1","424","33.4"
"DNK-E","電力機器事業部","E-00002768","NF32-SV 2P 15A (U)","","個","2023/03","3060","3060","1692","2.0000","2.0000","1","1368","44.7"
"DNK-E","電力機器事業部","E-00002770","NF32-SV 2P 20A (B)","","個","2022/08","4440","4440","4040","4.0000","4.0000","2","400","9"
"DNK-E","電力機器事業部","E-00002772","NF32-SV 2P 20A (U)","","個","2022/05","1270","1270","846","1.0000","1.0000","1","424","33.4"
"DNK-E","電力機器事業部","E-00002772","NF32-SV 2P 20A (U)","","個","2022/06","940","940","846","1.0000","1.0000","1","94","10"
"DNK-E","電力機器事業部","E-00002772","NF32-SV 2P 20A (U)","","個","2022/07","4440","4440","3384","4.0000","4.0000","2","1056","23.8"
"DNK-E","電力機器事業部","E-00002772","NF32-SV 2P 20A (U)","","個","2022/09","6350","6350","4230","5.0000","5.0000","1","2120","33.4"
"DNK-E","電力機器事業部","E-00002772","NF32-SV 2P 20A (U)","","個","2022/10","7460","7460","5076","6.0000","6.0000","5","2384","32"
"DNK-E","電力機器事業部","E-00002772","NF32-SV 2P 20A (U)","","個","2023/03","1530","1530","869","1.0000","1.0000","1","661","43.2"
"DNK-E","電力機器事業部","E-00002773","NF32-SV 2P 30A (A)","","個","2022/05","26670","26670","18249","21.0000","21.0000","1","8421","31.6"
"DNK-E","電力機器事業部","E-00002773","NF32-SV 2P 30A (A)","","個","2022/06","7460","7460","5191","6.0000","6.0000","2","2269","30.4"
"DNK-E","電力機器事業部","E-00002773","NF32-SV 2P 30A (A)","","個","2022/10","24130","24130","16511","19.0000","19.0000","1","7619","31.6"
"DNK-E","電力機器事業部","E-00002774","NF32-SV 2P 30A (B)","","個","2022/08","2220","2220","2020","2.0000","2.0000","1","200","9"
"DNK-E","電力機器事業部","E-00002776","NF32-SV 2P 30A (U)","","個","2022/06","4100","4100","3384","4.0000","4.0000","2","716","17.5"
"DNK-E","電力機器事業部","E-00002776","NF32-SV 2P 30A (U)","","個","2022/07","2220","2220","1692","2.0000","2.0000","1","528","23.8"
"DNK-E","電力機器事業部","E-00002776","NF32-SV 2P 30A (U)","","個","2022/09","53340","53340","35532","42.0000","42.0000","3","17808","33.4"
"DNK-E","電力機器事業部","E-00002776","NF32-SV 2P 30A (U)","","個","2022/10","23810","23810","16074","19.0000","19.0000","2","7736","32.5"
"DNK-E","電力機器事業部","E-00002776","NF32-SV 2P 30A (U)","","個","2023/01","4590","4590","2538","3.0000","3.0000","1","2052","44.7"
"DNK-E","電力機器事業部","E-00002776","NF32-SV 2P 30A (U)","","個","2023/03","29070","29070","16511","19.0000","19.0000","1","12559","43.2"
"DNK-E","電力機器事業部","E-00002776","NF32-SV 2P 30A (U)","","個","2023/04","39060","39060","26244","27.0000","27.0000","2","12816","32.8"
"DNK-E","電力機器事業部","E-00002781","NF32-SV 2P 3A (A)","","個","2022/06","5080","5080","3476","4.0000","4.0000","1","1604","31.6"
"DNK-E","電力機器事業部","E-00002782","NF32-SV 2P 3A (B)","","個","2023/03","14630","14630","13310","11.0000","11.0000","1","1320","9"
"DNK-E","電力機器事業部","E-00002785","NF32-SV 2P 5A (A)","","個","2022/10","1270","1270","869","1.0000","1.0000","1","401","31.6"
"DNK-E","電力機器事業部","E-00002786","NF32-SV 2P 5A (B)","","個","2022/08","2220","2220","2020","2.0000","2.0000","1","200","9"
"DNK-E","電力機器事業部","E-00002788","NF32-SV 2P 5A (U)","","個","2022/12","2160","2160","1692","2.0000","2.0000","1","468","21.7"
"DNK-E","電力機器事業部","E-00002789","NF32-SV 3P 10A (A)","","個","2022/11","3680","3680","2520","2.0000","2.0000","1","1160","31.5"
"DNK-E","電力機器事業部","E-00002793","NF32-SV 3P 15A (A)","","個","2022/06","1840","1840","1260","1.0000","1.0000","1","580","31.5"
"DNK-E","電力機器事業部","E-00002798","NF32-SV 3P 20A (B)","","個","2022/10","2630","2630","1460","1.0000","1.0000","1","1170","44.5"
"DNK-E","電力機器事業部","E-00002801","NF32-SV 3P 30A (A)","","個","2022/05","3680","3680","2520","2.0000","2.0000","1","1160","31.5"
"DNK-E","電力機器事業部","E-00002801","NF32-SV 3P 30A (A)","","個","2022/06","1640","1640","1260","1.0000","1.0000","1","380","23.2"
