"部門コード","部門名","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"","","2022/06","6090","6090","5680","1.0000","1.0000","1","410","6.7"
"","","2022/08","169100","169100","157340","4.0000","4.0000","2","11760","7"
"","","2022/10","900000","900000","577270","3.0000","3.0000","2","322730","35.9"
"","","2023/01","2680800","2680800","1800310","59.0000","59.0000","27","880490","32.8"
"","","2023/03","1606000","1606000","754350","24.0000","24.0000","4","851650","53"
"DNK-E","電力機器事業部","2022/05","40240140","40235180","31473847","3796.0000","3796.0000","838","8761333","21.8"
"DNK-E","電力機器事業部","2022/06","30759627","30759627","21029851","3591.0000","3591.0000","687","9729776","31.6"
"DNK-E","電力機器事業部","2022/07","45831610","45721850","33956457","8120.0000","8120.0000","842","11765393","25.7"
"DNK-E","電力機器事業部","2022/08","52516344","52408264","36183256","5314.0000","5314.0000","769","16225008","31"
"DNK-E","電力機器事業部","2022/09","45249080","45249080","35338033","4669.0000","4669.0000","774","9911047","21.9"
"DNK-E","電力機器事業部","2022/10","37079493","37079493","28632177","4751.0000","4751.0000","1177","8447316","22.8"
"DNK-E","電力機器事業部","2022/11","88494808","88494808","65707065","7759.0000","7759.0000","1209","22787743","25.8"
"DNK-E","電力機器事業部","2022/12","50580341","50580341","35923482","5310.0000","5310.0000","882","14656859","29"
"DNK-E","電力機器事業部","2023/01","49599501","49599501","36602076","6132.0000","6132.0000","1030","12997425","26.2"
"DNK-E","電力機器事業部","2023/02","73048200","73039200","51208989","4679.0000","4679.0000","1420","21830211","29.9"
"DNK-E","電力機器事業部","2023/03","122972625","122972625","86335018","5412.0000","5412.0000","1290","36637607","29.8"
"DNK-E","電力機器事業部","2023/04","32362150","32360040","26872507","3833.0000","3833.0000","623","5487533","17"
"DNK-M","メディア機器事業部","2022/05","138600","138600","71400","42.0000","42.0000","1","67200","48.5"
"DNK-M","メディア機器事業部","2022/06","318600","318600","242600","46.0000","46.0000","2","76000","23.9"
"DNK-M","メディア機器事業部","2022/07","151800","151800","78200","46.0000","46.0000","1","73600","48.5"
"DNK-M","メディア機器事業部","2022/08","151800","151800","78200","46.0000","46.0000","1","73600","48.5"
"DNK-M","メディア機器事業部","2022/09","151800","151800","78200","46.0000","46.0000","1","73600","48.5"
"DNK-M","メディア機器事業部","2022/10","151800","151800","78200","46.0000","46.0000","1","73600","48.5"
"DNK-M","メディア機器事業部","2022/11","151800","151800","78200","46.0000","46.0000","1","73600","48.5"
"DNK-M","メディア機器事業部","2022/12","151800","151800","78200","46.0000","46.0000","1","73600","48.5"
"DNK-M","メディア機器事業部","2023/01","196800","196800","121000","47.0000","47.0000","2","75800","38.5"
"DNK-M","メディア機器事業部","2023/02","1055100","1055100","79900","48.0000","48.0000","2","975200","92.4"
"DNK-M","メディア機器事業部","2023/03","1055100","1055100","79900","48.0000","48.0000","2","975200","92.4"
"DNK-M","メディア機器事業部","2023/04","1190100","1190100","145900","51.0000","51.0000","3","1044200","87.7"
"DNK-P","ポンプ事業部","2022/05","2090500","2090500","1854000","3.0000","3.0000","3","236500","11.3"
"DNK-P","ポンプ事業部","2022/12","987000","987000","770000","2.0000","2.0000","2","217000","22"
"DNK-F","FC事業部","2022/05","51996","51996","48574","68.0000","68.0000","26","3422","6.6"
"DNK-F","FC事業部","2022/06","771519","771519","177923","165.0000","165.0000","39","593596","76.9"
"DNK-F","FC事業部","2022/07","939180","939180","227188","210.0000","210.0000","61","711992","75.8"
"DNK-F","FC事業部","2022/08","1427052","1427052","268381","236.0000","236.0000","61","1158671","81.2"
"DNK-F","FC事業部","2022/09","1096199","1096199","329919","261.0000","261.0000","63","766280","69.9"
"DNK-F","FC事業部","2022/10","1178266","1178266","168238","170.0000","170.0000","45","1010028","85.7"
"DNK-F","FC事業部","2022/11","1435893","1435893","373247","268.0000","268.0000","65","1062646","74"
"DNK-F","FC事業部","2022/12","2066188","2066188","326261","432.0000","432.0000","82","1739927","84.2"
"DNK-F","FC事業部","2023/01","640959","640959","134377","91.0000","91.0000","39","506582","79"
"DNK-F","FC事業部","2023/02","738006","738006","181215","130.0000","130.0000","52","556791","75.4"
"DNK-F","FC事業部","2023/03","1527434","1527434","275640","244.0000","244.0000","54","1251794","82"
"DNK-F","FC事業部","2023/04","1070432","1070432","141559","124.0000","124.0000","45","928873","86.8"
"DNK-E-S","電力事業部 仙台","2022/08","2630000","2630000","1214080","5.0000","5.0000","5","1415920","53.8"
"DNK-E-S","電力事業部 仙台","2022/10","16070","16070","10550","2.0000","2.0000","2","5520","34.3"
"DNK-E-S","電力事業部 仙台","2023/02","366200","366200","292760","6.0000","6.0000","5","73440","20.1"
