"部門コード","部門名","商品コード","商品名","仕様・規格","単位","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"","","9999","出精値引き","","式","2024/06","-52100","-52100","0","1.0000","1.0000","1","-52100","100"
"","","9999","出精値引き","","式","2024/09","-972000","-972000","0","1.0000","1.0000","1","-972000","100"
"","","9999","出精値引き","","式","2024/10","-425000","-425000","0","1.0000","1.0000","1","-425000","100"
"","","9999","出精値引き","","式","2024/11","-736000","-736000","0","1.0000","1.0000","1","-736000","100"
"","","9999","出精値引き","","式","2025/02","-660000","-660000","0","1.0000","1.0000","1","-660000","100"
"","","9999","出精値引き","","式","2025/03","-211000","-211000","0","2.0000","2.0000","2","-211000","100"
"","","99999","金額一式","","式","2024/11","1936000","1936000","664480","2.0000","2.0000","1","1271520","65.7"
"","","99999","金額一式","","式","2025/03","757000","757000","447700","28.0000","28.0000","9","309300","40.9"
"","","E-00062758","S-T12 (B)","","個","2024/11","27000","27000","20700","18.0000","18.0000","1","6300","23.3"
"","","E-00099686","CV-FPN PV420V 1P3W 50KVA 50Hz SV210/105V","ケース入り","台","2024/09","2532000","2532000","472890","1.0000","1.0000","1","2059110","81.3"
"","","E-00099903","AV-DN PV210V 3P4W 75KVA 50Hz SV182/105V Δ-Y","仕様：一次側異電圧、異結線、特殊ケース入、積み重ね用金具","台","2024/10","1181000","1181000","377440","1.0000","1.0000","1","803560","68"
"","","E-00100905","CV-FPN PV420V 3P3W 50KVA 50Hz SV210V Δ-Δ","ケース入り","台","2025/02","1835000","1835000","557610","1.0000","1.0000","1","1277390","69.6"
"","","E-00101814","KSH401511EL","","","2024/06","118880","118880","37150","2.0000","2.0000","1","81730","68.8"
"","","E-00101815","S12091S","","","2024/06","5760","5760","1800","1.0000","1.0000","1","3960","68.8"
"","","E-00101816","S12091AR","","","2024/06","5760","5760","1800","1.0000","1.0000","1","3960","68.8"
"","","E-99999999","送料","","式","2024/11","1500","1500","800","1.0000","1.0000","1","700","46.7"
"","","M-00000024","NEC 液晶ディスプレイ 49型 LCD-MA491","","","2025/04","4272000","4272000","3282996","12.0000","12.0000","1","989004","23.2"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/05","-24446740","-24446740","0","20.0000","20.0000","20","-24446740","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/06","-26569290","-26569290","0","14.0000","14.0000","14","-26569290","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/07","-5726410","-5726410","0","9.0000","9.0000","9","-5726410","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/08","-6632530","-6632530","0","13.0000","13.0000","13","-6632530","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/09","-1215310","-1215310","0","7.0000","7.0000","7","-1215310","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/10","-2313050","-2313050","0","11.0000","11.0000","15","-2313050","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/11","-11421450","-11421450","0","14.0000","14.0000","14","-11421450","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/12","-1888070","-1888070","0","9.0000","9.0000","9","-1888070","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/01","-4182190","-4182190","0","8.0000","8.0000","8","-4182190","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/02","-12213000","-12213000","0","15.0000","15.0000","17","-12213000","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/03","-8143790","-8143790","0","34.0000","34.0000","34","-8143790","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/04","-3139700","-3139700","0","3.0000","3.0000","3","-3139700","100"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/05","9509120","9509120","7097600","38.0000","38.0000","15","2411520","25.4"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/06","43989840","43989840","17715910","143.0000","143.0000","49","26273930","59.7"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/07","14092360","14092360","8722926","29.0000","29.0000","15","5369434","38.1"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/08","10192320","10192320","3347544","156.0000","156.0000","26","6844776","67.2"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/09","1578290","1578290","991440","13.0000","13.0000","11","586850","37.2"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/10","5845250","5845250","3793260","264.0000","264.0000","33","2051990","35.1"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/11","14636340","14636340","5730100","37.0000","37.0000","28","8906240","60.9"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/12","13619890","13619890","7821080","26.0000","26.0000","23","5798810","42.6"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/01","15931900","15931900","7026280","43.0000","43.0000","22","8905620","55.9"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/02","34169830","34169830","14015430","109.0000","109.0000","45","20154400","59"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/03","24863210","24863210","11955978","257.0000","257.0000","73","12907232","51.9"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/04","11282840","11282840","5680455","313.0000","313.0000","26","5602385","49.7"
"DNK-E","電力機器事業部","E-00000145","EMU-CT100 定格一次電流 100A (分割形) (A)","","個","2025/01","8960","8960","7780","2.0000","2.0000","1","1180","13.2"
"DNK-E","電力機器事業部","E-00000209","B-PS3A (A)","","個","2024/08","44400","44400","35800","2.0000","2.0000","1","8600","19.4"
"DNK-E","電力機器事業部","E-00000238","EMU4-CM-C (B)","","個","2024/08","25900","25900","23310","1.0000","1.0000","1","2590","10"
"DNK-E","電力機器事業部","E-00000273","NF125-ZHV 3P 100A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","2025/02","35290","35290","28850","1.0000","1.0000","1","6440","18.2"
"DNK-E","電力機器事業部","E-00000301","NF125-ZHV 3P 100A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","2025/01","51520","51520","41350","1.0000","1.0000","1","10170","19.7"
"DNK-E","電力機器事業部","E-00000341","NF250-ZHV 3P 150A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","2025/01","44070","44070","36640","1.0000","1.0000","1","7430","16.9"
"DNK-E","電力機器事業部","E-00000361","NF250-ZSV 3P 200A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","2024/08","55340","55340","46290","1.0000","1.0000","1","9050","16.4"
"DNK-E","電力機器事業部","E-00000480","BAF-05SV (U)","","個","2024/07","43920","43920","34038","366.0000","366.0000","6","9882","22.5"
"DNK-E","電力機器事業部","E-00000480","BAF-05SV (U)","","個","2024/08","12880","12880","10788","116.0000","116.0000","2","2092","16.2"
"DNK-E","電力機器事業部","E-00000480","BAF-05SV (U)","","個","2024/09","9600","9600","7440","80.0000","80.0000","2","2160","22.5"
"DNK-E","電力機器事業部","E-00000480","BAF-05SV (U)","","個","2024/10","15360","15360","11904","128.0000","128.0000","6","3456","22.5"
"DNK-E","電力機器事業部","E-00000480","BAF-05SV (U)","","個","2025/03","4400","4400","3720","40.0000","40.0000","1","680","15.5"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2024/05","4600","4600","2960","40.0000","40.0000","1","1640","35.7"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2024/06","13800","13800","8880","120.0000","120.0000","3","4920","35.7"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2024/07","4600","4600","2960","40.0000","40.0000","1","1640","35.7"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2024/08","4250","4250","3700","50.0000","50.0000","1","550","12.9"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2024/09","10200","10200","8880","120.0000","120.0000","4","1320","12.9"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2024/10","25150","25150","17020","185.0000","185.0000","5","8130","32.3"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2024/11","17150","17150","11100","150.0000","150.0000","3","6050","35.3"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2024/12","13640","13640","8880","120.0000","120.0000","3","4760","34.9"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2025/01","40700","40700","28120","380.0000","380.0000","6","12580","30.9"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2025/02","4600","4600","2960","40.0000","40.0000","1","1640","35.7"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2025/03","3450","3450","2220","30.0000","30.0000","1","1230","35.7"
"DNK-E","電力機器事業部","E-00000484","LC-05SV (U)","","個","2024/06","1000","1000","880","20.0000","20.0000","1","120","12"
"DNK-E","電力機器事業部","E-00000484","LC-05SV (U)","","個","2024/07","3000","3000","2640","60.0000","60.0000","3","360","12"
"DNK-E","電力機器事業部","E-00000484","LC-05SV (U)","","個","2024/08","2000","2000","1760","40.0000","40.0000","4","240","12"
