"得意先コード","得意先名","部門コード","部門名","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"ESB0019","永楽電気株式会社","DNK-E","電力機器事業部","1443310","1443310","989471","693.0000","693.0000","77","453839","31.4"
"ESB0020","株式会社渡辺電機製作所","DNK-E","電力機器事業部","3881300","3881300","3073407","4175.0000","4175.0000","22","807893","20.8"
"ESB0021","日昭電器株式会社","DNK-E","電力機器事業部","135600","135600","113000","2.0000","2.0000","2","22600","16.7"
"ESB0023","株式会社三輝","DNK-E","電力機器事業部","27110","27110","18160","13.0000","13.0000","4","8950","33"
"ESB0025","旭テクネイオン　B","","","28500","28500","21500","19.0000","19.0000","2","7000","24.6"
"ESB0025","旭テクネイオン　B","DNK-E","電力機器事業部","10253480","10253480","6820764","5271.0000","5271.0000","836","3432716","33.5"
"ESB0027","株式会社東邦製作所","DNK-E","電力機器事業部","597210","597210","424936","53.0000","53.0000","15","172274","28.8"
"ESB0030","株式会社フナミ電機製作所","DNK-E","電力機器事業部","151340","151340","98080","45.0000","45.0000","17","53260","35.2"
"ESB0032","株式会社エイエス電気","DNK-E","電力機器事業部","319000","319000","200000","100.0000","100.0000","1","119000","37.3"
"ESB0033","内山電機工業株式会社 山形上山工場","DNK-E","電力機器事業部","69402410","69402410","58398988","6844.0000","6844.0000","1197","11003422","15.9"
"ESB0034","アイワ電設開発株式会社","DNK-E","電力機器事業部","70024335","70024335","50077072","3077.0000","3077.0000","963","19947263","28.5"
"ESB0035","進和機電株式会社","DNK-E","電力機器事業部","6535440","6535440","5300553","1017.0000","1017.0000","220","1234887","18.9"
"ESB0036","株式会社かわでん","DNK-E","電力機器事業部","1300000","1300000","760000","18.0000","18.0000","6","540000","41.5"
"ESB0224","株式会社新陽社 名古屋支店","DNK-E","電力機器事業部","120000","120000","106910","138.0000","138.0000","13","13090","10.9"
"ESC0004","日本電設工業株式会社　大宮支社","DNK-E","電力機器事業部","124200","124200","24618","12.0000","12.0000","11","99582","80.2"
"ESC0006","日本電設工業株式会社　千葉支社","DNK-E","電力機器事業部","5250000","5250000","4202240","9.0000","9.0000","5","1047760","20"
"ESC0008","日本電設工業株式会社　高崎支社","DNK-E","電力機器事業部","1479000","1479000","1083900","5.0000","5.0000","5","395100","26.7"
"ESC0009","日本電設工業株式会社　仙台支社","DNK-E","電力機器事業部","680000","680000","332240","2.0000","2.0000","2","347760","51.1"
"ESC0009","日本電設工業株式会社　仙台支社","DNK-E-S","電力事業部 仙台","1030000","1030000","663860","3.0000","3.0000","2","366140","35.5"
"ESC0010","日本電設工業株式会社　東京工事所","","","4062000","4062000","1962510","37.0000","37.0000","17","2099490","51.7"
"ESC0010","日本電設工業株式会社　東京工事所","DNK-E","電力機器事業部","3836900","3836900","1788950","18.0000","18.0000","14","2047950","53.4"
"ESC0011","日本電設工業株式会社 平塚工事所","DNK-E","電力機器事業部","12730000","12730000","7275000","29.0000","29.0000","13","5455000","42.9"
"ESC0012","日本電設工業株式会社　八王子工事所","DNK-E","電力機器事業部","737000","737000","529600","14.0000","14.0000","10","207400","28.1"
"ESC0013","日本電設工業株式会社　東北支店","DNK-E-S","電力事業部 仙台","2000000","2000000","1989000","6.0000","6.0000","6","11000","0.6"
"ESC0014","日本電設工業株式会社　新潟支店","DNK-E","電力機器事業部","3463000","3463000","1749430","7.0000","7.0000","5","1713570","49.5"
"ESC0015","日本電設工業株式会社　関東支店","DNK-E","電力機器事業部","525000","525000","350000","1.0000","1.0000","1","175000","33.3"
"ESC0021","ＮＤＫ総合サービス株式会社","DNK-E","電力機器事業部","16127000","16127000","10740000","181.0000","181.0000","100","5387000","33.4"
"ESC0022","大栄電設工業株式会社","","","1253300","1253300","598360","7.0000","7.0000","6","654940","52.3"
"ESC0022","大栄電設工業株式会社","DNK-E","電力機器事業部","1949680","1949680","1017938","56.0000","56.0000","31","931742","47.8"
"ESC0023","八重洲電機工事株式会社","DNK-E","電力機器事業部","1305290","1305290","801630","41.0000","41.0000","31","503660","38.6"
"ESC0030","日本リーテック株式会社 本店","DNK-E","電力機器事業部","23880","23880","11150","2.0000","2.0000","2","12730","53.3"
"ESC0031","日本リーテック株式会社 高崎支店","DNK-E","電力機器事業部","8865000","8865000","4857970","22.0000","22.0000","18","4007030","45.2"
"ESC0032","日本リーテック株式会社 新潟支店","DNK-E","電力機器事業部","1140000","1140000","748400","4.0000","4.0000","4","391600","34.4"
"ESC0035","日本リーテック株式会社 横浜支店","DNK-E","電力機器事業部","19582200","19582200","11697628","419.0000","419.0000","23","7884572","40.3"
"ESC0037","日本リーテック株式会社 八王子支店","DNK-E","電力機器事業部","567300","567300","369420","9.0000","9.0000","8","197880","34.9"
"ESC0051","東日本電気エンジニアリング株式会社 テムズ水戸","DNK-E","電力機器事業部","76000","76000","57350","3.0000","3.0000","3","18650","24.5"
"ESC0052","東日本電気エンジニアリング株式会社 テムズ高崎","DNK-E","電力機器事業部","18110000","18110000","12526350","66.0000","66.0000","30","5583650","30.8"
"ESC0053","東日本電気エンジニアリング株式会社 テムズ横浜","DNK-E","電力機器事業部","2194880","2194880","1195600","37.0000","37.0000","31","999280","45.5"
"ESC0071","岩崎電気工事株式会社 千葉支店","DNK-E","電力機器事業部","7848000","7848000","4593330","12.0000","12.0000","6","3254670","41.5"
"ESC0073","八千代電設工業株式会社","DNK-E","電力機器事業部","13980000","13980000","9441360","49.0000","49.0000","23","4538640","32.5"
"ESC0075","新生テクノス株式会社","DNK-E","電力機器事業部","5346400","5346400","3024300","106.0000","106.0000","56","2322100","43.4"
"ESC0080","RB工装株式会社 八王子事業所","DNK-E","電力機器事業部","1881700","1881700","974390","46.0000","46.0000","9","907310","48.2"
"ESC0090","エーエムワイテクノ株式会社","DNK-E","電力機器事業部","144140","144140","73870","3.0000","3.0000","2","70270","48.8"
"ESC0095","有限会社エムテック","DNK-E","電力機器事業部","9127315","9127315","5972302","2421.0000","2421.0000","685","3155013","34.6"
"ESC0101","株式会社チバ電気システムサービス","DNK-E-S","電力事業部 仙台","5463000","5463000","4691300","13.0000","13.0000","12","771700","14.1"
"ESC0102","亀井電気株式会社","DNK-E-S","電力事業部 仙台","3813000","3813000","3512000","5.0000","5.0000","4","301000","7.9"
"ESC0104","株式会社五和電気工業","DNK-E-N","電力事業部 名古屋","1800000","1800000","1088280","59.0000","59.0000","4","711720","39.5"
"ESC0105","株式会社事業開発社","DNK-E","電力機器事業部","276000","276000","220100","2.0000","2.0000","2","55900","20.3"
"ESC0106","日本電設工業株式会社　九州支店","DNK-E","電力機器事業部","21700","21700","5880","0.0000","0.0000","2","15820","72.9"
"F0001","株式会社HANABI","DNK-F","FC事業部","5746903","5746903","5438545","12.0000","12.0000","12","308358","5.4"
"F0003","株式会社K2","DNK-F","FC事業部","58338109","58338109","0","24.0000","24.0000","24","58338109","100"
"M0002","エヌ・アイ・シー","DNK-M","メディア機器事業部","1305044","1305044","586400","338.0000","338.0000","11","718644","55.1"
"M0015","株式会社SAFARI","DNK-E","電力機器事業部","6819240","6804840","5630476","2773.0000","2763.0000","199","1174364","17.3"
"P0002","株式会社八重瀬堆肥センター","DNK-P","ポンプ事業部","85290","85290","65368","13.0000","13.0000","3","19922","23.4"
"P0003","株式会社エイチツー","DNK-E","電力機器事業部","1272540","1272540","1018000","2.0000","2.0000","2","254540","20"
"P0003","株式会社エイチツー","DNK-P","ポンプ事業部","106290","106290","85030","1.0000","1.0000","1","21260","20"
"P0014","株式会社エスティフロー","DNK-E","電力機器事業部","623890","623890","499740","19.0000","19.0000","15","124150","19.9"
