"得意先コード","得意先名","部門コード","部門名","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EJR0005","東日本旅客鉄道株式会社　横浜電力設備技術センター","DNK-E","電力機器事業部","6026400","6026400","3249060","4.0000","4.0000","3","2777340","46.1"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","","","4272000","4272000","3282996","12.0000","12.0000","1","989004","23.2"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","6097340","6097340","4414943","215.0000","215.0000","21","1682397","27.6"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","7440000","7440000","3515200","2.0000","2.0000","1","3924800","52.8"
"EJR0010","東日本旅客鉄道株式会社　千葉電力設備技術センター","DNK-E","電力機器事業部","408020","408020","287990","12.0000","12.0000","10","120030","29.4"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","7259580","7259580","4509570","15.0000","15.0000","3","2750010","37.9"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","4886630","4886630","3697260","30.0000","30.0000","17","1189370","24.3"
"EOT0002","有限会社ヤスコーポレーション","DNK-E","電力機器事業部","371120","371120","296900","10.0000","10.0000","8","74220","20"
"EOT0004","光栄電機工業株式会社","DNK-E","電力機器事業部","637000","637000","509360","1.0000","1.0000","1","127640","20"
"EOT0014","福山通運株式会社","DNK-E","電力機器事業部","243850","243850","125274","51.0000","51.0000","7","118576","48.6"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","397000","397000","195882","14.0000","14.0000","9","201118","50.7"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","143103405","143103405","100126638","5216.0000","5216.0000","1448","42976767","30"
"ESB0001","株式会社新陽社","DNK-E-S","電力事業部 仙台","864000","864000","570380","2.0000","2.0000","1","293620","34"
"ESB0002","内山電機工業株式会社 西東京日の出工場","DNK-E","電力機器事業部","50400900","50400900","43579453","6759.0000","6759.0000","1566","6821447","13.5"
"ESB0003","株式会社精美電機製作所","DNK-E","電力機器事業部","59549525","59549525","37017517","6200.0000","6200.0000","1573","22532008","37.8"
"ESB0004","日本包装機械株式会社","DNK-E","電力機器事業部","20830130","20830130","18148397","2548.0000","2548.0000","360","2681733","12.9"
"ESB0005","三誠電気株式会社","DNK-E","電力機器事業部","8077350","8077350","4944801","330.0000","330.0000","117","3132549","38.8"
"ESB0006","株式会社横浜コントロール","DNK-E","電力機器事業部","12251030","12251030","7974283","3892.0000","3892.0000","768","4276747","34.9"
"ESB0007","有限会社シンコー電気","DNK-E","電力機器事業部","2200760","2200760","1511062","408.0000","408.0000","199","689698","31.3"
"ESB0009","株式会社日照電機製作所","DNK-E","電力機器事業部","239220","239220","207360","54.0000","54.0000","1","31860","13.3"
"ESB0017","東神電機株式会社","DNK-E","電力機器事業部","355970","355970","298450","33.0000","33.0000","12","57520","16.2"
"ESB0018","株式会社制御機器販売","DNK-E","電力機器事業部","2085120","2085120","1529143","552.0000","552.0000","285","555977","26.7"
