"部門コード","部門名","商品コード","商品名","仕様・規格","単位","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/05","-6321200","-6321200","0","7.0000","7.0000","7","-6321200","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/06","-6080500","-6080500","0","3.0000","3.0000","3","-6080500","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/07","-2016200","-2016200","0","2.0000","2.0000","2","-2016200","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/08","-4127270","-4127270","0","4.0000","4.0000","4","-4127270","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/09","-7677240","-7864240","-533630","11.0000","11.0000","12","-7330610","93.2"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/10","-3678490","-3678490","0","10.0000","10.0000","10","-3678490","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/11","-3013570","-3013570","0","16.0000","16.0000","16","-3013570","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2025/12","-11662090","-11662090","0","20.0000","20.0000","20","-11662090","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2026/01","-14329020","-14329020","-230000","27.0000","27.0000","27","-14099020","98.4"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2026/02","-10540590","-11435590","-458680","19.0000","19.0000","20","-10976910","96"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2026/03","-10078190","-10500190","0","20.0000","20.0000","25","-10500190","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2026/04","-1970810","-1970810","-43130","7.0000","7.0000","7","-1927680","97.8"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/05","38452400","38452400","20218980","55.0000","55.0000","23","18233420","47.4"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/06","16822500","16822500","6715605","187.0000","187.0000","5","10106895","60.1"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/07","5426320","5426320","1903170","63.0000","63.0000","24","3523150","64.9"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/08","13544500","13544500","5406490","410.0000","410.0000","24","8138010","60.1"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/09","17005130","17005130","5643025","60.0000","60.0000","34","11362105","66.8"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/10","3970630","3970630","2707148","57.0000","57.0000","34","1263482","31.8"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/11","16341000","16341000","8095105","89.0000","89.0000","79","8245895","50.5"
"DNK-E","電力機器事業部","99999","金額一式","","式","2025/12","23644380","23644380","9584150","907.0000","907.0000","83","14060230","59.5"
"DNK-E","電力機器事業部","99999","金額一式","","式","2026/01","33204170","33204170","12455909","117.0000","117.0000","61","20748261","62.5"
"DNK-E","電力機器事業部","99999","金額一式","","式","2026/02","15873540","15873540","7216750","63.0000","63.0000","46","8656790","54.5"
"DNK-E","電力機器事業部","99999","金額一式","","式","2026/03","18280400","18280400","8910620","124.0000","124.0000","88","9369780","51.3"
"DNK-E","電力機器事業部","99999","金額一式","","式","2026/04","1783330","1783330","615270","54.0000","54.0000","13","1168060","65.5"
"DNK-E","電力機器事業部","E-00000209","B-PS3A (A)","","個","2026/01","29800","29800","17900","1.0000","1.0000","1","11900","39.9"
"DNK-E","電力機器事業部","E-00000273","NF125-ZHV 3P 100A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","2025/11","84700","84700","68480","2.0000","2.0000","1","16220","19.1"
"DNK-E","電力機器事業部","E-00000285","NF125-ZSV 3P 100A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","2025/09","46840","46840","38030","1.0000","1.0000","1","8810","18.8"
"DNK-E","電力機器事業部","E-00000285","NF125-ZSV 3P 100A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","2025/12","46840","46840","38030","1.0000","1.0000","1","8810","18.8"
"DNK-E","電力機器事業部","E-00000301","NF125-ZHV 3P 100A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","2025/07","49390","49390","40190","1.0000","1.0000","1","9200","18.6"
"DNK-E","電力機器事業部","E-00000341","NF250-ZHV 3P 150A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","2025/06","67820","67820","55230","1.0000","1.0000","1","12590","18.6"
"DNK-E","電力機器事業部","E-00000361","NF250-ZSV 3P 200A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","2026/02","63640","63640","53200","1.0000","1.0000","1","10440","16.4"
"DNK-E","電力機器事業部","E-00000365","NF250-ZSV 3P 225A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","2025/08","63640","63640","53200","1.0000","1.0000","1","10440","16.4"
"DNK-E","電力機器事業部","E-00000405","NF250-ZHV 4P 125A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","2025/09","77400","77400","62000","1.0000","1.0000","1","15400","19.9"
"DNK-E","電力機器事業部","E-00000437","NF400-ZSW 3P 300A AL AX ECA/SHTDC24Vﾘｰﾄﾞ 自動ﾘｾｯﾄ BPM(A)","","個","2025/09","114560","114560","93400","1.0000","1.0000","1","21160","18.5"
"DNK-E","電力機器事業部","E-00000477","BAF-05SV (A)","","個","2025/06","920","920","740","4.0000","4.0000","2","180","19.6"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2025/05","22100","22100","14450","170.0000","170.0000","4","7650","34.6"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2025/06","23400","23400","15300","180.0000","180.0000","4","8100","34.6"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2025/07","13100","13100","8585","101.0000","101.0000","2","4515","34.5"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2025/08","32700","32700","21250","250.0000","250.0000","5","11450","35"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2025/09","6500","6500","4250","50.0000","50.0000","1","2250","34.6"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2025/10","22100","22100","14450","170.0000","170.0000","3","7650","34.6"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2025/12","5200","5200","3400","40.0000","40.0000","1","1800","34.6"
