"得意先コード","得意先名","部門コード","部門名","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EJR0001","株式会社カナデン","DNK-E","電力機器事業部","1683300","1683300","558820","1.0000","1.0000","1","1124480","66.8"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","260200","260200","185833","154.0000","154.0000","19","74367","28.6"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","59520","59520","24420","2.0000","2.0000","2","35100","59"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","7259580","7259580","4509570","15.0000","15.0000","3","2750010","37.9"
"EJR0026","東日本旅客鉄道株式会社　新宿電力設備技術センター","DNK-E","電力機器事業部","15270600","15270600","6958060","4.0000","4.0000","2","8312540","54.4"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","1209410","1209410","974900","11.0000","11.0000","8","234510","19.4"
"EOT0015","有限会社菊地電気商会","DNK-E-N","電力事業部 名古屋","1858040","1858040","816910","63.0000","63.0000","24","1041130","56"
"EOT0016","協同電気","DNK-E","電力機器事業部","4800","4800","4370","1.0000","1.0000","1","430","9"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","174728290","174728290","125233337","5962.0000","5962.0000","1364","49494953","28.3"
"ESB0002","内山電機工業株式会社 西東京日の出工場","DNK-E","電力機器事業部","92933280","92933280","75757462","11414.0000","11414.0000","1778","17175818","18.5"
"ESB0003","株式会社精美電機製作所","DNK-E","電力機器事業部","57322970","57322970","35212371","5810.0000","5810.0000","1135","22110599","38.6"
"ESB0004","日本包装機械株式会社","DNK-E","電力機器事業部","32086695","32086695","28180998","3441.0000","3441.0000","702","3905697","12.2"
"ESB0005","三誠電気株式会社","DNK-E","電力機器事業部","1053770","1053770","701222","128.0000","128.0000","16","352548","33.5"
"ESB0006","株式会社横浜コントロール","DNK-E","電力機器事業部","7803360","7803360","5263599","2105.0000","2105.0000","439","2539761","32.5"
"ESB0007","有限会社シンコー電気","DNK-E","電力機器事業部","1682530","1682530","1023029","414.0000","414.0000","156","659501","39.2"
"ESB0009","株式会社日照電機製作所","DNK-E","電力機器事業部","782690","782690","685992","90.0000","90.0000","28","96698","12.4"
"ESB0017","東神電機株式会社","DNK-E","電力機器事業部","722370","722370","538040","64.0000","64.0000","16","184330","25.5"
"ESB0018","株式会社制御機器販売","DNK-E","電力機器事業部","2230040","2230040","1644285","597.0000","597.0000","337","585755","26.3"
"ESB0019","永楽電気株式会社","DNK-E","電力機器事業部","1728810","1728810","1382791","259.0000","259.0000","76","346019","20"
"ESB0020","株式会社渡辺電機製作所","DNK-E","電力機器事業部","2883430","2883430","2313030","3286.0000","3286.0000","10","570400","19.8"
"ESB0021","日昭電器株式会社","DNK-E","電力機器事業部","412200","412200","326700","90.0000","90.0000","9","85500","20.7"
"ESB0023","株式会社三輝","DNK-E","電力機器事業部","34470","34470","13770","3.0000","3.0000","2","20700","60.1"
"ESB0025","旭テクネイオン　B","DNK-E","電力機器事業部","20522800","20522800","15486871","5490.0000","5490.0000","1422","5035929","24.5"
"ESB0030","株式会社フナミ電機製作所","DNK-E","電力機器事業部","72470","72470","49527","18.0000","18.0000","12","22943","31.7"
"ESB0032","株式会社エイエス電気","DNK-E","電力機器事業部","319000","319000","200000","100.0000","100.0000","1","119000","37.3"
"ESB0033","内山電機工業株式会社 山形上山工場","DNK-E","電力機器事業部","36463480","36463480","30276116","2317.0000","2317.0000","587","6187364","17"
