"得意先コード","得意先名","部門コード","部門名","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"ESB0034","アイワ電設開発株式会社","DNK-E","電力機器事業部","37004425","37004425","26684356","3063.0000","3063.0000","728","10320069","27.9"
"ESB0035","進和機電株式会社","DNK-E","電力機器事業部","3001760","3001760","2206357","781.0000","781.0000","276","795403","26.5"
"ESB0037","共和電機産業株式会社","DNK-E","電力機器事業部","862500","862500","750000","2.0000","2.0000","1","112500","13"
"ESB0037","共和電機産業株式会社","DNK-E-S","電力事業部 仙台","2589500","2589500","2409830","196.0000","196.0000","53","179670","6.9"
"ESB0038","株式会社水谷電機製作所","DNK-E","電力機器事業部","6277690","6277690","4442120","738.0000","738.0000","227","1835570","29.2"
"ESB0040","八州電工株式会社","DNK-E","電力機器事業部","557910","557910","350070","20.0000","20.0000","13","207840","37.3"
"ESC0002","日本電設工業株式会社　電力支社","DNK-E","電力機器事業部","2472960","2472960","1416050","46.0000","46.0000","14","1056910","42.7"
"ESC0004","日本電設工業株式会社　大宮支社","DNK-E","電力機器事業部","3097270","3097270","1585382","27.0000","27.0000","17","1511888","48.8"
"ESC0005","日本電設工業株式会社　発変電支社","DNK-E","電力機器事業部","1019000","1019000","478860","22.0000","22.0000","12","540140","53"
"ESC0006","日本電設工業株式会社　千葉支社","DNK-E","電力機器事業部","1602000","1602000","891510","34.0000","34.0000","14","710490","44.4"
"ESC0007","日本電設工業株式会社　水戸支社","DNK-E","電力機器事業部","849000","849000","637000","2.0000","2.0000","2","212000","25"
"ESC0008","日本電設工業株式会社　高崎支社","DNK-E","電力機器事業部","216000","216000","53440","10.0000","10.0000","10","162560","75.3"
"ESC0009","日本電設工業株式会社　仙台支社","DNK-E-S","電力事業部 仙台","12110000","12110000","7073540","36.0000","36.0000","16","5036460","41.6"
"ESC0010","日本電設工業株式会社　東京工事所","DNK-E","電力機器事業部","12552000","12552000","6462430","485.0000","485.0000","36","6089570","48.5"
"ESC0011","日本電設工業株式会社 平塚工事所","DNK-E","電力機器事業部","30205300","29310300","19952846","317.0000","317.0000","61","9357454","31.9"
"ESC0013","日本電設工業株式会社　東北支店","DNK-E-S","電力事業部 仙台","3120000","3120000","2762610","3.0000","3.0000","3","357390","11.5"
"ESC0021","ＮＤＫ総合サービス株式会社","DNK-E","電力機器事業部","30839000","30839000","20407120","235.0000","235.0000","209","10431880","33.8"
"ESC0022","大栄電設工業株式会社","DNK-E","電力機器事業部","10925040","10925040","6100270","203.0000","203.0000","118","4824770","44.2"
"ESC0023","八重洲電機工事株式会社","DNK-E","電力機器事業部","1118900","1118900","763550","35.0000","35.0000","25","355350","31.8"
"ESC0030","日本リーテック株式会社 本店","DNK-E","電力機器事業部","76900","76900","35840","5.0000","5.0000","2","41060","53.4"
"ESC0031","日本リーテック株式会社 高崎支店","DNK-E","電力機器事業部","2640000","2640000","1330840","7.0000","7.0000","6","1309160","49.6"
"ESC0032","日本リーテック株式会社 新潟支店","DNK-E-S","電力事業部 仙台","1160000","1160000","821250","4.0000","4.0000","2","338750","29.2"
"ESC0035","日本リーテック株式会社 横浜支店","DNK-E","電力機器事業部","10927000","10318000","8096505","206.0000","206.0000","16","2221495","21.5"
"ESC0037","日本リーテック株式会社 八王子支店","DNK-E","電力機器事業部","7250000","7250000","3880030","150.0000","150.0000","14","3369970","46.5"
"ESC0038","日本リーテック株式会社 仙台支店","DNK-E-S","電力事業部 仙台","2300000","2300000","2085000","6.0000","6.0000","6","215000","9.3"
"ESC0051","東日本電気エンジニアリング株式会社 テムズ水戸","DNK-E","電力機器事業部","73000","73000","55190","3.0000","3.0000","3","17810","24.4"
"ESC0052","東日本電気エンジニアリング株式会社 テムズ高崎","DNK-E","電力機器事業部","11930700","11930700","7785408","41.0000","41.0000","28","4145292","34.7"
"ESC0053","東日本電気エンジニアリング株式会社 テムズ横浜","DNK-E","電力機器事業部","3440500","3440500","2077190","63.0000","63.0000","29","1363310","39.6"
"ESC0056","東日本電気エンジニアリング株式会社 千葉支社","DNK-E","電力機器事業部","533000","533000","312000","2.0000","2.0000","2","221000","41.5"
"ESC0057","東日本電気エンジニアリング株式会社 仙台支店","DNK-E-S","電力事業部 仙台","468000","468000","421000","2.0000","2.0000","2","47000","10"
"ESC0071","岩崎電気工事株式会社 千葉支店","DNK-E","電力機器事業部","1868000","1868000","1321640","6.0000","6.0000","6","546360","29.2"
"ESC0075","新生テクノス株式会社","DNK-E-N","電力事業部 名古屋","3100000","3100000","1284764","74.0000","74.0000","21","1815236","58.6"
"ESC0076","株式会社関電工 (東京タワー)","DNK-E","電力機器事業部","1850000","1850000","920270","22.0000","22.0000","6","929730","50.3"
"ESC0080","RB工装株式会社 八王子事業所","DNK-E","電力機器事業部","1845500","1845500","1004490","40.0000","40.0000","13","841010","45.6"
"ESC0095","有限会社エムテック","DNK-E","電力機器事業部","13586180","13586180","9157084","2745.0000","2745.0000","723","4429096","32.6"
"ESC0103","吉田電気工事株式会社","DNK-E-N","電力事業部 名古屋","1500000","1500000","1105750","34.0000","34.0000","14","394250","26.3"
"ESC0104","株式会社五和電気工業","DNK-E-N","電力事業部 名古屋","700000","700000","528000","27.0000","27.0000","3","172000","24.6"
"ESC0107","新生テクノス株式会社 中部支店","DNK-E-N","電力事業部 名古屋","7413000","7413000","6018020","113.0000","113.0000","32","1394980","18.8"
"ESC0108","新生テクノス株式会社 静岡支社","DNK-E","電力機器事業部","1270200","1270200","688690","32.0000","32.0000","21","581510","45.8"
"ESC0111","日本電設工業株式会社　福島支社","DNK-E-S","電力事業部 仙台","4994000","4994000","4501000","17.0000","17.0000","16","493000","9.9"
"ESC0112","K・D・S（株）","DNK-E-N","電力事業部 名古屋","378000","378000","199045","53.0000","53.0000","27","178955","47.3"
"ESC0113","新生テクノス株式会社　大阪新幹線支店","DNK-E-N","電力事業部 名古屋","9700","9700","2260","3.0000","3.0000","3","7440","76.7"
"F0001","株式会社HANABI","DNK-F","FC事業部","1578417","1578417","1578417","4.0000","4.0000","4","0","0"
"F0003","株式会社K2","DNK-F","FC事業部","74918543","74918543","0","22.0000","22.0000","22","74918543","100"
"M0015","株式会社SAFARI","DNK-E","電力機器事業部","2759300","2759300","2385610","1222.0000","1222.0000","76","373690","13.5"
"P0002","株式会社八重瀬堆肥センター","DNK-P","ポンプ事業部","100280","100280","77004","16.0000","16.0000","3","23276","23.2"
"P0008","サニー・トレーディング株式会社","DNK-P","ポンプ事業部","175000","175000","126560","2.0000","2.0000","2","48440","27.7"
"P0014","株式会社エスティフロー","DNK-E","電力機器事業部","842560","842560","683760","13.0000","13.0000","10","158800","18.8"
