"部門コード","部門名","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"DNK-E","電力機器事業部","2025/05","70240395","70240395","47332411","4012.0000","4012.0000","856","22907984","32.6"
"DNK-E","電力機器事業部","2025/06","45965410","45965410","31855300","6976.0000","6976.0000","824","14110110","30.7"
"DNK-E","電力機器事業部","2025/07","53155825","53155825","37929301","4313.0000","4313.0000","797","15226524","28.6"
"DNK-E","電力機器事業部","2025/08","64401510","64401510","40050906","3931.0000","3931.0000","706","24350604","37.8"
"DNK-E","電力機器事業部","2025/09","49978290","49791290","34289780","5303.0000","5303.0000","1146","15501510","31.1"
"DNK-E","電力機器事業部","2025/10","58049495","58049495","45436834","5706.0000","5706.0000","1308","12612661","21.7"
"DNK-E","電力機器事業部","2025/11","54220320","54220320","39444400","2908.0000","2908.0000","644","14775920","27.3"
"DNK-E","電力機器事業部","2025/12","62831810","62831810","45333513","4403.0000","4403.0000","992","17498297","27.8"
"DNK-E","電力機器事業部","2026/01","61130780","61130780","41851412","4049.0000","4049.0000","1079","19279368","31.5"
"DNK-E","電力機器事業部","2026/02","72168390","71273390","52881543","4014.0000","4014.0000","1072","18391847","25.8"
"DNK-E","電力機器事業部","2026/03","46370465","45948465","35233513","2857.0000","2857.0000","802","10714952","23.3"
"DNK-E","電力機器事業部","2026/04","24510970","24510970","18782108","3881.0000","3881.0000","618","5728862","23.4"
"DNK-P","ポンプ事業部","2026/01","100280","100280","77004","16.0000","16.0000","3","23276","23.2"
"DNK-P","ポンプ事業部","2026/03","175000","175000","126560","2.0000","2.0000","2","48440","27.7"
"DNK-F","FC事業部","2025/05","5053218","5053218","308056","3.0000","3.0000","3","4745162","93.9"
"DNK-F","FC事業部","2025/06","5494163","5494163","472612","3.0000","3.0000","3","5021551","91.4"
"DNK-F","FC事業部","2025/07","6395719","6395719","356912","3.0000","3.0000","3","6038807","94.4"
"DNK-F","FC事業部","2025/08","6117159","6117159","440837","3.0000","3.0000","3","5676322","92.8"
"DNK-F","FC事業部","2025/09","4989309","4989309","0","2.0000","2.0000","2","4989309","100"
"DNK-F","FC事業部","2025/10","5543932","5543932","0","2.0000","2.0000","2","5543932","100"
"DNK-F","FC事業部","2025/11","8522975","8522975","0","2.0000","2.0000","2","8522975","100"
"DNK-F","FC事業部","2025/12","15177037","15177037","0","2.0000","2.0000","2","15177037","100"
"DNK-F","FC事業部","2026/01","5725189","5725189","0","2.0000","2.0000","2","5725189","100"
"DNK-F","FC事業部","2026/02","6195251","6195251","0","2.0000","2.0000","2","6195251","100"
"DNK-F","FC事業部","2026/03","7283008","7283008","0","2.0000","2.0000","2","7283008","100"
"DNK-E-N","電力事業部 名古屋","2025/05","57000","57000","29640","2.0000","2.0000","2","27360","48"
"DNK-E-N","電力事業部 名古屋","2025/06","901040","901040","279910","41.0000","41.0000","5","621130","68.9"
"DNK-E-N","電力事業部 名古屋","2025/07","750000","750000","560350","29.0000","29.0000","5","189650","25.3"
"DNK-E-N","電力事業部 名古屋","2025/08","820000","820000","353630","17.0000","17.0000","16","466370","56.9"
"DNK-E-N","電力事業部 名古屋","2025/09","3210000","3210000","2226310","119.0000","119.0000","19","983690","30.6"
"DNK-E-N","電力事業部 名古屋","2025/10","4000000","4000000","3950000","3.0000","3.0000","3","50000","1.3"
"DNK-E-N","電力事業部 名古屋","2025/11","886000","886000","606570","9.0000","9.0000","8","279430","31.5"
"DNK-E-N","電力事業部 名古屋","2025/12","3180700","3180700","1324444","91.0000","91.0000","34","1856256","58.4"
"DNK-E-N","電力事業部 名古屋","2026/01","28000","28000","7540","4.0000","4.0000","4","20460","73.1"
"DNK-E-N","電力事業部 名古屋","2026/02","137000","137000","77045","19.0000","19.0000","7","59955","43.8"
"DNK-E-N","電力事業部 名古屋","2026/03","751000","751000","437480","6.0000","6.0000","6","313520","41.7"
"DNK-E-N","電力事業部 名古屋","2026/04","238000","238000","101830","27.0000","27.0000","15","136170","57.2"
"DNK-E-S","電力事業部 仙台","2025/06","1160000","1160000","821250","4.0000","4.0000","2","338750","29.2"
"DNK-E-S","電力事業部 仙台","2025/07","1730000","1730000","777540","2.0000","2.0000","2","952460","55.1"
"DNK-E-S","電力事業部 仙台","2025/09","2589500","2589500","2409830","196.0000","196.0000","53","179670","6.9"
"DNK-E-S","電力事業部 仙台","2026/01","7570000","7570000","3698610","16.0000","16.0000","5","3871390","51.1"
"DNK-E-S","電力事業部 仙台","2026/04","13692000","13692000","12367000","46.0000","46.0000","36","1325000","9.7"
