"部門コード","部門名","商品コード","商品名","仕様・規格","単位","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2024/02","17410","17410","11120","16.0000","16.0000","2","6290","36.1"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2024/03","34820","34820","22240","32.0000","32.0000","2","12580","36.1"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2024/04","21800","21800","16060","20.0000","20.0000","1","5740","26.3"
"DNK-E","電力機器事業部","E-00000990","NF30-FA 3P 5A (B)","","個","2023/05","209000","209000","116000","100.0000","100.0000","1","93000","44.5"
"DNK-E","電力機器事業部","E-00000992","NF30-FA 3P 5A (U)","","個","2023/06","15300","15300","9740","10.0000","10.0000","1","5560","36.3"
"DNK-E","電力機器事業部","E-00001004","NF30-FA 2P 10A (U)","","個","2023/07","1120","1120","695","1.0000","1.0000","1","425","37.9"
"DNK-E","電力機器事業部","E-00001004","NF30-FA 2P 10A (U)","","個","2023/08","3300","3300","2085","3.0000","3.0000","1","1215","36.8"
"DNK-E","電力機器事業部","E-00001004","NF30-FA 2P 10A (U)","","個","2023/12","15300","15300","9740","10.0000","10.0000","1","5560","36.3"
"DNK-E","電力機器事業部","E-00001004","NF30-FA 2P 10A (U)","","個","2024/02","17420","17420","11380","11.0000","11.0000","2","6040","34.7"
"DNK-E","電力機器事業部","E-00001004","NF30-FA 2P 10A (U)","","個","2024/03","10900","10900","6950","10.0000","10.0000","1","3950","36.2"
"DNK-E","電力機器事業部","E-00001004","NF30-FA 2P 10A (U)","","個","2024/04","1060","1060","695","1.0000","1.0000","1","365","34.4"
"DNK-E","電力機器事業部","E-00001008","NF30-FA 2P 15A (U)","","個","2023/05","5300","5300","3475","5.0000","5.0000","1","1825","34.4"
"DNK-E","電力機器事業部","E-00001008","NF30-FA 2P 15A (U)","","個","2023/06","1120","1120","695","1.0000","1.0000","1","425","37.9"
"DNK-E","電力機器事業部","E-00001008","NF30-FA 2P 15A (U)","","個","2023/10","2180","2180","1390","2.0000","2.0000","2","790","36.2"
"DNK-E","電力機器事業部","E-00001008","NF30-FA 2P 15A (U)","","個","2024/04","1060","1060","695","1.0000","1.0000","1","365","34.4"
"DNK-E","電力機器事業部","E-00001009","NF30-FA 2P 20A (A)","","個","2024/03","1260","1260","808","1.0000","1.0000","1","452","35.9"
"DNK-E","電力機器事業部","E-00001012","NF30-FA 2P 20A (U)","","個","2023/06","11000","11000","6950","10.0000","10.0000","5","4050","36.8"
"DNK-E","電力機器事業部","E-00001012","NF30-FA 2P 20A (U)","","個","2023/09","7860","7860","4865","7.0000","7.0000","4","2995","38.1"
"DNK-E","電力機器事業部","E-00001012","NF30-FA 2P 20A (U)","","個","2023/12","11000","11000","6950","10.0000","10.0000","1","4050","36.8"
"DNK-E","電力機器事業部","E-00001012","NF30-FA 2P 20A (U)","","個","2024/01","11000","11000","6950","10.0000","10.0000","1","4050","36.8"
"DNK-E","電力機器事業部","E-00001012","NF30-FA 2P 20A (U)","","個","2024/02","22000","22000","13900","20.0000","20.0000","2","8100","36.8"
"DNK-E","電力機器事業部","E-00001012","NF30-FA 2P 20A (U)","","個","2024/04","33000","33000","22990","30.0000","30.0000","2","10010","30.3"
"DNK-E","電力機器事業部","E-00001017","NF30-FA 3P 10A (A)","","個","2023/06","1570","1570","1130","1.0000","1.0000","1","440","28"
"DNK-E","電力機器事業部","E-00001018","NF30-FA 3P 10A (B)","","個","2023/06","383000","383000","232000","200.0000","200.0000","2","151000","39.4"
"DNK-E","電力機器事業部","E-00001020","NF30-FA 3P 10A (U)","","個","2023/05","6120","6120","3896","4.0000","4.0000","1","2224","36.3"
"DNK-E","電力機器事業部","E-00001020","NF30-FA 3P 10A (U)","","個","2023/08","16830","16830","10714","11.0000","11.0000","1","6116","36.3"
"DNK-E","電力機器事業部","E-00001020","NF30-FA 3P 10A (U)","","個","2023/09","3140","3140","1948","2.0000","2.0000","1","1192","38"
"DNK-E","電力機器事業部","E-00001020","NF30-FA 3P 10A (U)","","個","2024/01","4710","4710","2922","3.0000","3.0000","1","1788","38"
"DNK-E","電力機器事業部","E-00001020","NF30-FA 3P 10A (U)","","個","2024/04","1570","1570","974","1.0000","1.0000","1","596","38"
"DNK-E","電力機器事業部","E-00001022","NF30-FA 3P 15A (B)","","個","2023/06","2090","2090","1390","1.0000","1.0000","1","700","33.5"
"DNK-E","電力機器事業部","E-00001025","NF30-FA 3P 20A (A)","","個","2023/12","2250","2250","1690","1.0000","1.0000","1","560","24.9"
"DNK-E","電力機器事業部","E-00001026","NF30-FA 3P 20A (B)","","個","2023/06","2090","2090","1390","1.0000","1.0000","1","700","33.5"
"DNK-E","電力機器事業部","E-00001026","NF30-FA 3P 20A (B)","","個","2023/07","2090","2090","1390","1.0000","1.0000","1","700","33.5"
"DNK-E","電力機器事業部","E-00001026","NF30-FA 3P 20A (B)","","個","2023/09","20900","20900","13900","10.0000","10.0000","1","7000","33.5"
"DNK-E","電力機器事業部","E-00001032","NF30-FA 3P 30A (U)","","個","2023/08","10400","10400","7840","4.0000","4.0000","1","2560","24.6"
"DNK-E","電力機器事業部","E-00001033","NF50-FA 2P 10A (A)","","個","2023/09","5070","5070","3870","3.0000","3.0000","1","1200","23.7"
"DNK-E","電力機器事業部","E-00001073","NF50-FA 3P 40A (A)","","個","2024/02","4840","4840","3500","2.0000","2.0000","1","1340","27.7"
"DNK-E","電力機器事業部","E-00001194","NV30-FA 2P 5A 30mA (B)","","個","2023/06","14650","14650","11050","5.0000","5.0000","1","3600","24.6"
"DNK-E","電力機器事業部","E-00001194","NV30-FA 2P 5A 30mA (B)","","個","2023/09","3980","3980","2650","1.0000","1.0000","1","1330","33.4"
"DNK-E","電力機器事業部","E-00001194","NV30-FA 2P 5A 30mA (B)","","個","2024/02","2930","2930","2650","1.0000","1.0000","1","280","9.6"
"DNK-E","電力機器事業部","E-00001196","NV30-FA 2P 5A 30mA (U)","","個","2024/02","41020","41020","29960","14.0000","14.0000","1","11060","27"
"DNK-E","電力機器事業部","E-00001196","NV30-FA 2P 5A 30mA (U)","","個","2024/04","5860","5860","3720","2.0000","2.0000","1","2140","36.5"
"DNK-E","電力機器事業部","E-00001204","NV30-FA 2P 10A 30mA (U)","","個","2023/05","17610","17610","13020","7.0000","7.0000","2","4590","26.1"
"DNK-E","電力機器事業部","E-00001204","NV30-FA 2P 10A 30mA (U)","","個","2023/06","23500","23500","18600","10.0000","10.0000","1","4900","20.9"
"DNK-E","電力機器事業部","E-00001204","NV30-FA 2P 10A 30mA (U)","","個","2023/07","23500","23500","21400","10.0000","10.0000","1","2100","8.9"
"DNK-E","電力機器事業部","E-00001204","NV30-FA 2P 10A 30mA (U)","","個","2023/10","11750","11750","10700","5.0000","5.0000","1","1050","8.9"
"DNK-E","電力機器事業部","E-00001204","NV30-FA 2P 10A 30mA (U)","","個","2023/12","11750","11750","9300","5.0000","5.0000","1","2450","20.9"
"DNK-E","電力機器事業部","E-00001204","NV30-FA 2P 10A 30mA (U)","","個","2024/02","7900","7900","5960","2.0000","2.0000","1","1940","24.6"
"DNK-E","電力機器事業部","E-00001204","NV30-FA 2P 10A 30mA (U)","","個","2024/04","11750","11750","9300","5.0000","5.0000","1","2450","20.9"
"DNK-E","電力機器事業部","E-00001218","NV30-FA 2P 20A 30mA (B)","","個","2023/05","7960","7960","5300","2.0000","2.0000","1","2660","33.4"
"DNK-E","電力機器事業部","E-00001230","NV30-FA 3P 5A 30mA (B)","","個","2023/06","57100","57100","38100","10.0000","10.0000","3","19000","33.3"
"DNK-E","電力機器事業部","E-00001230","NV30-FA 3P 5A 30mA (B)","","個","2024/02","17130","17130","11430","3.0000","3.0000","1","5700","33.3"
"DNK-E","電力機器事業部","E-00001230","NV30-FA 3P 5A 30mA (B)","","個","2024/03","51390","51390","34290","9.0000","9.0000","3","17100","33.3"
"DNK-E","電力機器事業部","E-00001230","NV30-FA 3P 5A 30mA (B)","","個","2024/04","28550","28550","19050","5.0000","5.0000","1","9500","33.3"
"DNK-E","電力機器事業部","E-00001241","NV30-FA 3P 15A 15mA (A)","","個","2024/01","17120","17120","12920","4.0000","4.0000","1","4200","24.5"
"DNK-E","電力機器事業部","E-00001245","NV30-FA 3P 15A 30mA (A)","","個","2024/01","4280","4280","3230","1.0000","1.0000","1","1050","24.5"
"DNK-E","電力機器事業部","E-00001253","NV30-FA 3P 20A 30mA (A)","","個","2023/07","4970","4970","3820","1.0000","1.0000","1","1150","23.1"
"DNK-E","電力機器事業部","E-00001261","NV30-FA 3P 30A 30mA (A)","","個","2024/01","4280","4280","3230","1.0000","1.0000","1","1050","24.5"
"DNK-E","電力機器事業部","E-00001264","NV30-FA 3P 30A 30mA (U)","","個","2024/02","4280","4280","3080","1.0000","1.0000","1","1200","28"
"DNK-E","電力機器事業部","E-00001677","CP30-BA 1P 1A I-M (A)","","個","2023/08","2040","2040","1504","2.0000","2.0000","1","536","26.3"
"DNK-E","電力機器事業部","E-00001677","CP30-BA 1P 1A I-M (A)","","個","2023/09","1020","1020","752","1.0000","1.0000","1","268","26.3"
"DNK-E","電力機器事業部","E-00001677","CP30-BA 1P 1A I-M (A)","","個","2023/12","1020","1020","750","1.0000","1.0000","1","270","26.5"
"DNK-E","電力機器事業部","E-00001677","CP30-BA 1P 1A I-M (A)","","個","2024/02","1020","1020","750","1.0000","1.0000","1","270","26.5"
"DNK-E","電力機器事業部","E-00001677","CP30-BA 1P 1A I-M (A)","","個","2024/03","2040","2040","1500","2.0000","2.0000","2","540","26.5"
"DNK-E","電力機器事業部","E-00001680","CP30-BA 1P 1A I-M (U)","","個","2023/06","1480","1480","1400","2.0000","2.0000","1","80","5.4"
"DNK-E","電力機器事業部","E-00001680","CP30-BA 1P 1A I-M (U)","","個","2023/10","2040","2040","1218","2.0000","2.0000","2","822","40.3"
"DNK-E","電力機器事業部","E-00001696","CP30-BA 1P 3A I-M (U)","","個","2023/07","5100","5100","4200","6.0000","6.0000","2","900","17.6"
"DNK-E","電力機器事業部","E-00001697","CP30-BA 1P 5A I-M (A)","","個","2023/07","102000","102000","75000","100.0000","100.0000","1","27000","26.5"
"DNK-E","電力機器事業部","E-00001697","CP30-BA 1P 5A I-M (A)","","個","2023/10","102000","102000","75000","100.0000","100.0000","1","27000","26.5"
"DNK-E","電力機器事業部","E-00001697","CP30-BA 1P 5A I-M (A)","","個","2024/01","1030","1030","750","1.0000","1.0000","1","280","27.2"
"DNK-E","電力機器事業部","E-00001725","CP30-BA 1P 1A I-MD (A)","","個","2023/05","69500","69500","52500","50.0000","50.0000","1","17000","24.5"
"DNK-E","電力機器事業部","E-00001725","CP30-BA 1P 1A I-MD (A)","","個","2023/07","69500","69500","52500","50.0000","50.0000","1","17000","24.5"
"DNK-E","電力機器事業部","E-00001762","CP30-BA 2P 0.25A I-M (B)","","個","2023/05","12840","12840","10500","6.0000","6.0000","1","2340","18.2"
"DNK-E","電力機器事業部","E-00001764","CP30-BA 2P 0.25A I-M (U)","","個","2023/11","2350","2350","1540","1.0000","1.0000","1","810","34.5"
"DNK-E","電力機器事業部","E-00001770","CP30-BA 2P 0.5A I-M (B)","","個","2023/07","8560","8560","5840","4.0000","4.0000","1","2720","31.8"
"DNK-E","電力機器事業部","E-00001770","CP30-BA 2P 0.5A I-M (B)","","個","2023/08","2140","2140","1750","1.0000","1.0000","1","390","18.2"
"DNK-E","電力機器事業部","E-00001773","CP30-BA 2P 10A I-M (A)","","個","2024/01","9400","9400","6600","4.0000","4.0000","1","2800","29.8"
"DNK-E","電力機器事業部","E-00001776","CP30-BA 2P 10A I-M (U)","","個","2023/05","16450","16450","9380","7.0000","7.0000","1","7070","43"
"DNK-E","電力機器事業部","E-00001776","CP30-BA 2P 10A I-M (U)","","個","2023/06","64020","64020","37720","28.0000","28.0000","9","26300","41.1"
"DNK-E","電力機器事業部","E-00001776","CP30-BA 2P 10A I-M (U)","","個","2023/07","54670","54670","38580","27.0000","27.0000","8","16090","29.4"
"DNK-E","電力機器事業部","E-00001776","CP30-BA 2P 10A I-M (U)","","個","2023/08","35250","35250","20100","15.0000","15.0000","1","15150","43"
"DNK-E","電力機器事業部","E-00001776","CP30-BA 2P 10A I-M (U)","","個","2023/09","6420","6420","4020","3.0000","3.0000","3","2400","37.4"
"DNK-E","電力機器事業部","E-00001776","CP30-BA 2P 10A I-M (U)","","個","2023/12","2140","2140","1340","1.0000","1.0000","1","800","37.4"
"DNK-E","電力機器事業部","E-00001776","CP30-BA 2P 10A I-M (U)","","個","2024/01","9190","9190","5760","4.0000","4.0000","3","3430","37.3"
