"部門コード","部門名","商品コード","商品名","仕様・規格","単位","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"","","9999","出精値引き","","式","2024/02","-1871000","-1871000","0","1.0000","1.0000","1","-1871000","100"
"","","9999","出精値引き","","式","2024/03","-6392230","-6392230","0","11.0000","11.0000","11","-6392230","100"
"","","99999","金額一式","","式","2023/10","14609","14609","0","1.0000","1.0000","1","14609","100"
"","","99999","金額一式","","式","2023/11","11091","11091","0","1.0000","1.0000","1","11091","100"
"","","99999","金額一式","","式","2023/12","20827","20827","0","1.0000","1.0000","1","20827","100"
"","","99999","金額一式","","式","2024/01","9364","9364","0","1.0000","1.0000","1","9364","100"
"","","99999","金額一式","","式","2024/02","21845","21845","0","1.0000","1.0000","1","21845","100"
"","","E-00000209","B-PS3A (A)","","個","2024/03","173600","173600","104300","7.0000","7.0000","6","69300","39.9"
"","","E-00074737","B-MPX24B (A)","","個","2024/03","3080000","3080000","1848000","11.0000","11.0000","7","1232000","40"
"","","E-00074893","B-AM500LN (A)","","個","2024/03","3750000","3750000","2250000","5.0000","5.0000","4","1500000","40"
"","","E-00098427","SMC-WCA","","台","2024/03","900000","900000","390000","2.0000","2.0000","2","510000","56.7"
"","","E-00098428","SMC-WRA","","台","2024/03","840000","840000","364000","8.0000","8.0000","3","476000","56.7"
"","","E-00098487","M4KM-RL 1P2W 100V 60A 50HZ 検付","","","2024/03","567000","567000","226800","6.0000","6.0000","1","340200","60"
"","","E-00098603","M2PM-S34R 1P3W 100V 200/5A 50HZ 検付 (CT:CW-15LS 200/5A*2) (A)","","台","2024/03","83280","83280","24900","1.0000","1.0000","1","58380","70.1"
"","","E-00098780","M4KM-RL 1P2W 200V 60A 50HZ 検付","","","2024/03","378000","378000","151200","4.0000","4.0000","2","226800","60"
"","","E-00098785","M5VM-LATR 1P3W 100V 60A 50Hz 検定付 (A)","","台","2024/03","175600","175600","70200","2.0000","2.0000","2","105400","60"
"","","E-00098786","M5VM-LTR 3P3W 200V 60A 50Hz 検定付 (A)","","台","2024/03","343200","343200","137280","4.0000","4.0000","2","205920","60"
"","","E-00099058","CV-FPN PV420V 1P3W 75KVA 50Hz SV210V/105V ケース入り","","","2024/03","2023000","2023000","558820","1.0000","1.0000","1","1464180","72.4"
"","","E-00099080","SMC-WTA (A)","","台","2024/03","360000","360000","156000","12.0000","12.0000","2","204000","56.7"
"","","E-00099103","M5VM-LTR 3P3W 200V 120A 50Hz 検定付 無線 (A)","","台","2024/03","359200","359200","143520","4.0000","4.0000","2","215680","60"
"","","E-00099176","AV-DN PV420V 3P3W 150KVA 50Hz SV210V Δ-Δ ケース入り","","台","2024/02","1538000","1538000","507350","1.0000","1.0000","1","1030650","67"
"","","E-00099201","M8FM-S1R 1P3W 100V 120A 50Hz 1kwh/pulse 検定付 (A)","","台","2024/03","53080","53080","18760","1.0000","1.0000","1","34320","64.7"
"","","E-00099226","M5VM-LTR 1P3W 100V 120A 50Hz 検定付 無線 (A)","","台","2024/03","449000","449000","179400","5.0000","5.0000","2","269600","60"
"","","E-00099608","SMC-WTA 無線子機 (A)","","台","2024/03","510000","510000","221000","17.0000","17.0000","1","289000","56.7"
"","","E-00099667","M5CM-LTR 1P3W 100V 200/5A 50Hz 無線 検付 (A)","(CW-5LS3)","台","2024/03","269360","269360","105140","2.0000","2.0000","2","164220","61"
"","","E-00099686","CV-FPN PV420V 1P3W 50KVA 50Hz SV210/105V","ケース入り","台","2024/03","1970000","1970000","521070","1.0000","1.0000","1","1448930","73.5"
"","","E-00099908","AV-DN PV420V 3P3W 30KVA 50Hz SV210V Δ-Δ","仕様：ケース入","台","2024/02","3393000","3393000","1119210","3.0000","3.0000","1","2273790","67"
"","","E-00099949","M5CM-LTR 3P3W 200V 200/5A 50Hz 検定付 (CT:CW-15LS*2) (A)","","セット","2024/03","134680","134680","52570","1.0000","1.0000","1","82110","61"
"","","E-00100053","M5CM-LTR 1P3W 100V 150/5A 50Hz 検定付 (CT:CW-5LS3) (A)","","台","2024/03","130180","130180","50890","1.0000","1.0000","1","79290","60.9"
"","","E-00100119","M1PM-S34R 1P2W 200V 120A 60Hz 検定付 (U)","","台","2024/03","112820","112820","35120","2.0000","2.0000","2","77700","68.9"
"","","E-00100202","M7FM-S1R 1P2W 100V 120A ","","台","2024/03","44870","44870","15850","1.0000","1.0000","1","29020","64.7"
"","","E-00100207","検針コントローラー B-AM500LN","","台","2024/03","1500000","1500000","900000","2.0000","2.0000","2","600000","40"
"","","E-00100827","M2PM-S34R 3P3W 200V 120A 50Hz 検定付 (A)","","台","2024/03","128360","128360","39960","2.0000","2.0000","2","88400","68.9"
"","","E-00100834","M2PM-S34R 1P3W 100V 200/5A 50Hz 1kwh/pulse 検付 (CW-15LS 200/5A*2) (U)","","台","2024/03","83280","83280","24900","1.0000","1.0000","1","58380","70.1"
"","","E-00101575","M2PM-S34R 3P3W 100V 60A 50Hz　検付","","台","2024/03","72770","72770","22180","1.0000","1.0000","1","50590","69.5"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2023/05","-451980","-451980","0","8.0000","8.0000","8","-451980","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2023/06","-41451460","-41451460","0","11.0000","11.0000","11","-41451460","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2023/07","-695490","-695490","3000","8.0000","8.0000","8","-698490","100.4"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2023/08","-6507950","-6507950","0","9.0000","9.0000","9","-6507950","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2023/09","-13788160","-13788160","0","11.0000","11.0000","11","-13788160","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2023/10","-7910610","-7910610","0","14.0000","14.0000","14","-7910610","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2023/11","-7493720","-7493720","0","11.0000","11.0000","11","-7493720","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2023/12","-2833270","-2833270","0","20.0000","20.0000","9","-2833270","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/01","-6229960","-6229960","0","9.0000","9.0000","9","-6229960","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/02","-14523890","-14523890","0","16.0000","16.0000","16","-14523890","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/03","-10729790","-10729790","-5620","37.0000","37.0000","36","-10724170","99.9"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2024/04","-1045410","-1045410","0","4.0000","4.0000","4","-1045410","100"
"DNK-E","電力機器事業部","99999","金額一式","","式","2023/05","309960","309960","177220","6.0000","6.0000","6","132740","42.8"
"DNK-E","電力機器事業部","99999","金額一式","","式","2023/06","18178540","18178540","5491520","17.0000","17.0000","13","12687020","69.8"
"DNK-E","電力機器事業部","99999","金額一式","","式","2023/07","297740","297740","216990","21.0000","21.0000","8","80750","27.1"
"DNK-E","電力機器事業部","99999","金額一式","","式","2023/08","6776450","6776450","3418806","10.0000","10.0000","8","3357644","49.5"
"DNK-E","電力機器事業部","99999","金額一式","","式","2023/09","11487750","11487750","5903963","17.0000","17.0000","14","5583787","48.6"
"DNK-E","電力機器事業部","99999","金額一式","","式","2023/10","3522370","3522370","1850800","38.0000","38.0000","30","1671570","47.5"
"DNK-E","電力機器事業部","99999","金額一式","","式","2023/11","4570920","4570920","2583360","95.0000","95.0000","22","1987560","43.5"
"DNK-E","電力機器事業部","99999","金額一式","","式","2023/12","8313250","8313250","4944166","32.0000","32.0000","19","3369084","40.5"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/01","16082330","16082330","7542500","151.0000","151.0000","30","8539830","53.1"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/02","42835550","42835550","17500836","204.0000","204.0000","63","25334714","59.1"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/03","16349140","16349140","8051730","120.0000","120.0000","70","8297410","50.8"
"DNK-E","電力機器事業部","99999","金額一式","","式","2024/04","1465140","1465140","285100","19.0000","19.0000","5","1180040","80.5"
"DNK-E","電力機器事業部","E-00000142","EMU-CT50(B)","","個","2023/05","8000","8000","6480","2.0000","2.0000","1","1520","19"
"DNK-E","電力機器事業部","E-00000209","B-PS3A (A)","","個","2023/08","18500","18500","14900","1.0000","1.0000","1","3600","19.5"
"DNK-E","電力機器事業部","E-00000209","B-PS3A (A)","","個","2023/10","74400","74400","44700","3.0000","3.0000","1","29700","39.9"
"DNK-E","電力機器事業部","E-00000209","B-PS3A (A)","","個","2024/03","22220","22220","17900","1.0000","1.0000","1","4320","19.4"
"DNK-E","電力機器事業部","E-00000293","NF125-ZSV 3P 50A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","2023/11","39260","39260","32290","1.0000","1.0000","1","6970","17.8"
"DNK-E","電力機器事業部","E-00000337","NF250-ZHV 3P 125A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","2024/03","58970","58970","48050","1.0000","1.0000","1","10920","18.5"
"DNK-E","電力機器事業部","E-00000353","NF250-ZSV 3P 150A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","2023/11","55340","55340","45480","1.0000","1.0000","1","9860","17.8"
"DNK-E","電力機器事業部","E-00000477","BAF-05SV (A)","","個","2023/06","400","400","326","2.0000","2.0000","1","74","18.5"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2023/05","23000","23000","14800","200.0000","200.0000","1","8200","35.7"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2023/06","2300","2300","1480","20.0000","20.0000","1","820","35.7"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2023/12","2300","2300","1480","20.0000","20.0000","1","820","35.7"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2024/02","9700","9700","7400","100.0000","100.0000","3","2300","23.7"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2024/03","9000","9000","5920","80.0000","80.0000","3","3080","34.2"
"DNK-E","電力機器事業部","E-00000484","LC-05SV (U)","","個","2023/08","2500","2500","2200","50.0000","50.0000","1","300","12"
"DNK-E","電力機器事業部","E-00000484","LC-05SV (U)","","個","2024/02","2000","2000","1760","40.0000","40.0000","2","240","12"
"DNK-E","電力機器事業部","E-00000581","NV125-SV MB 3P (A)","","個","2024/01","145750","145750","98450","5.0000","5.0000","3","47300","32.5"
"DNK-E","電力機器事業部","E-00000613","NV250-SV(250A) 3P (A)","","個","2024/02","49460","49460","37270","1.0000","1.0000","1","12190","24.6"
"DNK-E","電力機器事業部","E-00000825","ZT15B (A)","","個","2024/01","4000","4000","2960","2.0000","2.0000","2","1040","26"
"DNK-E","電力機器事業部","E-00000825","ZT15B (A)","","個","2024/04","4000","4000","2800","2.0000","2.0000","1","1200","30"
"DNK-E","電力機器事業部","E-00000828","ZT15B (U)","","個","2023/06","2810","2810","1020","1.0000","1.0000","1","1790","63.7"
"DNK-E","電力機器事業部","E-00000828","ZT15B (U)","","個","2023/08","2810","2810","1020","1.0000","1.0000","1","1790","63.7"
"DNK-E","電力機器事業部","E-00000828","ZT15B (U)","","個","2023/10","22480","22480","8160","8.0000","8.0000","3","14320","63.7"
"DNK-E","電力機器事業部","E-00000828","ZT15B (U)","","個","2024/02","2810","2810","1330","1.0000","1.0000","1","1480","52.7"
"DNK-E","電力機器事業部","E-00000832","ZT30B (U)","","個","2023/05","4560","4560","1660","1.0000","1.0000","1","2900","63.6"
"DNK-E","電力機器事業部","E-00000832","ZT30B (U)","","個","2023/10","4560","4560","1660","1.0000","1.0000","1","2900","63.6"
"DNK-E","電力機器事業部","E-00000832","ZT30B (U)","","個","2024/01","9120","9120","3320","2.0000","2.0000","1","5800","63.6"
"DNK-E","電力機器事業部","E-00000837","ZT60B (A)","","個","2023/05","25300","25300","20600","2.0000","2.0000","1","4700","18.6"
"DNK-E","電力機器事業部","E-00000866","NV-ZBA 100-200V 100,200,500A　時延(B)","","個","2023/10","8340","8340","4860","1.0000","1.0000","1","3480","41.7"
"DNK-E","電力機器事業部","E-00000869","NV-ZBA 100-200V 30,100,200,500A　高速(A)","","個","2024/01","11860","11860","8740","2.0000","2.0000","2","3120","26.3"
"DNK-E","電力機器事業部","E-00000869","NV-ZBA 100-200V 30,100,200,500A　高速(A)","","個","2024/04","11860","11860","8260","2.0000","2.0000","1","3600","30.4"
"DNK-E","電力機器事業部","E-00000870","NV-ZBA 100-200V 30,100,200,500A　高速(B)","","個","2023/08","58380","58380","34020","7.0000","7.0000","1","24360","41.7"
"DNK-E","電力機器事業部","E-00000870","NV-ZBA 100-200V 30,100,200,500A　高速(B)","","個","2024/01","25020","25020","14580","3.0000","3.0000","2","10440","41.7"
"DNK-E","電力機器事業部","E-00000872","NV-ZBA 100-200V 30,100,200,500A　高速(U)","","個","2023/05","8340","8340","3020","1.0000","1.0000","1","5320","63.8"
"DNK-E","電力機器事業部","E-00000872","NV-ZBA 100-200V 30,100,200,500A　高速(U)","","個","2023/06","8340","8340","4860","1.0000","1.0000","1","3480","41.7"
"DNK-E","電力機器事業部","E-00000872","NV-ZBA 100-200V 30,100,200,500A　高速(U)","","個","2023/08","8340","8340","4860","1.0000","1.0000","1","3480","41.7"
"DNK-E","電力機器事業部","E-00000872","NV-ZBA 100-200V 30,100,200,500A　高速(U)","","個","2023/10","75060","75060","27180","9.0000","9.0000","4","47880","63.8"
"DNK-E","電力機器事業部","E-00000872","NV-ZBA 100-200V 30,100,200,500A　高速(U)","","個","2023/11","41700","41700","19650","5.0000","5.0000","1","22050","52.9"
"DNK-E","電力機器事業部","E-00000872","NV-ZBA 100-200V 30,100,200,500A　高速(U)","","個","2024/02","8340","8340","3930","1.0000","1.0000","1","4410","52.9"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2023/11","7420","7420","4865","7.0000","7.0000","1","2555","34.4"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2023/05","32700","32700","20850","30.0000","30.0000","1","11850","36.2"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2023/06","1490","1490","695","1.0000","1.0000","1","795","53.4"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2023/07","3180","3180","2085","3.0000","3.0000","3","1095","34.4"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2023/10","22860","22860","14595","21.0000","21.0000","2","8265","36.2"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2023/11","34820","34820","22240","32.0000","32.0000","2","12580","36.1"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2023/12","2180","2180","1390","2.0000","2.0000","2","790","36.2"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2024/01","8280","8280","4865","7.0000","7.0000","4","3415","41.2"
