"得意先コード","得意先名","部門コード","部門名","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EJR0005","東日本旅客鉄道株式会社　横浜電力設備技術センター","DNK-E","電力機器事業部","3656000","3656000","2384230","5.0000","5.0000","3","1271770","34.8"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","1980900","1980900","1126080","2.0000","2.0000","2","854820","43.2"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","6877140","6877140","4624280","17.0000","17.0000","10","2252860","32.8"
"EJR0027","東日本旅客鉄道株式会社　品川電力設備技術センター","DNK-E","電力機器事業部","3124800","3124800","1027540","2.0000","2.0000","1","2097260","67.1"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","2352460","2352460","1344870","13.0000","13.0000","10","1007590","42.8"
"EOT0002","有限会社ヤスコーポレーション","DNK-E","電力機器事業部","126160","126160","106050","1.0000","1.0000","1","20110","15.9"
"EOT0004","光栄電機工業株式会社","DNK-E","電力機器事業部","177790","177790","161580","6.0000","6.0000","3","16210","9.1"
"EOT0007","西山電気株式会社","DNK-E","電力機器事業部","383330","383330","0","1.0000","1.0000","1","383330","100"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","154747150","154747150","107666082","7854.0000","7854.0000","1672","47081068","30.4"
"ESB0001","株式会社新陽社","DNK-E-S","電力事業部 仙台","6675800","6675800","4543720","15.0000","15.0000","15","2132080","31.9"
"ESB0002","内山電機工業株式会社 西東京日の出工場","DNK-E","電力機器事業部","74352396","74207496","60961796","7268.0000","7268.0000","1528","13245700","17.8"
"ESB0003","株式会社精美電機製作所","DNK-E","電力機器事業部","59510275","59510275","39994897","4881.0000","4881.0000","1048","19515378","32.8"
"ESB0004","日本包装機械株式会社","DNK-E","電力機器事業部","31048160","31048160","27669242","2595.0000","2595.0000","446","3378918","10.9"
"ESB0005","三誠電気株式会社","DNK-E","電力機器事業部","3856830","3856830","2349964","155.0000","155.0000","69","1506866","39.1"
"ESB0005","三誠電気株式会社","DNK-E-S","電力事業部 仙台","68160","68160","41460","12.0000","12.0000","5","26700","39.2"
"ESB0006","株式会社横浜コントロール","DNK-E","電力機器事業部","7214410","7214410","4628726","2247.0000","2247.0000","414","2585684","35.8"
"ESB0007","有限会社シンコー電気","DNK-E","電力機器事業部","1610140","1610140","1075855","481.0000","481.0000","187","534285","33.2"
"ESB0009","株式会社日照電機製作所","DNK-E","電力機器事業部","416136","416136","364334","136.0000","136.0000","22","51802","12.4"
"ESB0017","東神電機株式会社","DNK-E","電力機器事業部","541860","541860","452480","58.0000","58.0000","15","89380","16.5"
"ESB0018","株式会社制御機器販売","DNK-E","電力機器事業部","2378920","2378920","1755544","513.0000","513.0000","195","623376","26.2"
"ESB0019","永楽電気株式会社","DNK-E","電力機器事業部","694650","694650","507476","316.0000","316.0000","42","187174","26.9"
"ESB0020","株式会社渡辺電機製作所","DNK-E","電力機器事業部","562170","562170","401520","86.0000","86.0000","12","160650","28.6"
"ESB0023","株式会社三輝","DNK-E","電力機器事業部","19980","19980","13080","2.0000","2.0000","1","6900","34.5"
"ESB0025","旭テクネイオン　B","DNK-E","電力機器事業部","5617310","5617310","4029051","2600.0000","2600.0000","616","1588259","28.3"
"ESB0027","株式会社東邦製作所","DNK-E","電力機器事業部","136860","136860","87244","72.0000","72.0000","19","49616","36.3"
"ESB0032","株式会社エイエス電気","DNK-E","電力機器事業部","585000","585000","366000","200.0000","200.0000","2","219000","37.4"
"ESB0033","内山電機工業株式会社 山形上山工場","DNK-E","電力機器事業部","49771960","49771960","43235258","5846.0000","5846.0000","992","6536702","13.1"
"ESB0034","アイワ電設開発株式会社","DNK-E","電力機器事業部","23152335","23152335","15801099","3107.0000","3107.0000","798","7351236","31.8"
"ESB0035","進和機電株式会社","DNK-E","電力機器事業部","1335110","1335110","947928","344.0000","344.0000","123","387182","29"
"ESC0001","日本電設工業株式会社","DNK-E","電力機器事業部","25781000","25781000","17400060","42.0000","42.0000","24","8380940","32.5"
"ESC0002","日本電設工業株式会社　電力支社","","","12099050","12099050","8611860","115.0000","115.0000","64","3487190","28.8"
"ESC0002","日本電設工業株式会社　電力支社","DNK-E","電力機器事業部","8235450","8235450","4418800","18.0000","18.0000","11","3816650","46.3"
"ESC0004","日本電設工業株式会社　大宮支社","DNK-E","電力機器事業部","4630000","4630000","2456490","21.0000","21.0000","13","2173510","46.9"
"ESC0009","日本電設工業株式会社　仙台支社","DNK-E-S","電力事業部 仙台","8520000","8520000","4912060","14.0000","14.0000","11","3607940","42.3"
"ESC0010","日本電設工業株式会社　東京工事所","","","3060000","3060000","1626560","5.0000","5.0000","3","1433440","46.8"
"ESC0010","日本電設工業株式会社　東京工事所","DNK-E","電力機器事業部","13614600","13614600","5393320","30.0000","30.0000","22","8221280","60.4"
"ESC0011","日本電設工業株式会社 平塚工事所","DNK-E","電力機器事業部","4230300","4230300","2679800","17.0000","17.0000","14","1550500","36.7"
"ESC0012","日本電設工業株式会社　八王子工事所","DNK-E","電力機器事業部","10429000","10429000","4796600","146.0000","146.0000","29","5632400","54"
"ESC0013","日本電設工業株式会社　東北支店","DNK-E-S","電力事業部 仙台","10115000","3700000","3491580","7.0000","7.0000","6","208420","5.6"
"ESC0021","ＮＤＫ総合サービス株式会社","DNK-E","電力機器事業部","12746000","12746000","8710000","35.0000","35.0000","32","4036000","31.7"
"ESC0022","大栄電設工業株式会社","DNK-E","電力機器事業部","819130","819130","554232","28.0000","28.0000","24","264898","32.3"
"ESC0023","八重洲電機工事株式会社","DNK-E","電力機器事業部","13418900","13418900","10221118","141.0000","141.0000","67","3197782","23.8"
"ESC0030","日本リーテック株式会社 本店","DNK-E","電力機器事業部","73000","73000","54320","3.0000","3.0000","3","18680","25.6"
"ESC0031","日本リーテック株式会社 高崎支店","DNK-E","電力機器事業部","16580000","16580000","11999570","50.0000","50.0000","19","4580430","27.6"
"ESC0034","日本リーテック株式会社 中央支店大宮支社","DNK-E","電力機器事業部","242000","242000","203630","8.0000","8.0000","6","38370","15.9"
"ESC0035","日本リーテック株式会社 横浜支店","DNK-E","電力機器事業部","17365000","17365000","12005440","210.0000","210.0000","65","5359560","30.9"
"ESC0037","日本リーテック株式会社 八王子支店","DNK-E","電力機器事業部","1225000","1225000","982120","21.0000","21.0000","18","242880","19.8"
"ESC0051","東日本電気エンジニアリング株式会社 テムズ水戸","DNK-E","電力機器事業部","197000","197000","148480","8.0000","8.0000","7","48520","24.6"
"ESC0052","東日本電気エンジニアリング株式会社 テムズ高崎","DNK-E","電力機器事業部","8873000","8873000","5905380","28.0000","28.0000","8","2967620","33.4"
"ESC0053","東日本電気エンジニアリング株式会社 テムズ横浜","DNK-E","電力機器事業部","7247580","7247580","5675830","69.0000","69.0000","50","1571750","21.7"
"ESC0054","東日本電気エンジニアリング株式会社 テムズ八王子","DNK-E","電力機器事業部","97200","97200","50380","1.0000","1.0000","1","46820","48.2"
"ESC0075","新生テクノス株式会社","DNK-E","電力機器事業部","2304700","2304700","1224830","69.0000","69.0000","30","1079870","46.9"
"ESC0077","東邦電気工業　購買","DNK-E","電力機器事業部","25440","25440","10550","4.0000","4.0000","4","14890","58.5"
"ESC0079","西日本電気システム株式会社 中央支社","DNK-E","電力機器事業部","964000","964000","470340","2.0000","2.0000","2","493660","51.2"
"ESC0080","RB工装株式会社 八王子事業所","DNK-E","電力機器事業部","1496800","1496800","785550","71.0000","71.0000","10","711250","47.5"
"ESC0095","有限会社エムテック","DNK-E","電力機器事業部","4559490","4559490","2959698","954.0000","954.0000","240","1599792","35.1"
"ESC0096","株式会社サンエー 東京支店","DNK-E","電力機器事業部","170000","170000","65020","6.0000","6.0000","4","104980","61.8"
"ESC0111","日本電設工業株式会社　福島支社","DNK-E","電力機器事業部","252000","252000","184300","21.0000","21.0000","9","67700","26.9"
"F0001","株式会社HANABI","DNK-F","FC事業部","4735412","4735412","4432735","1837.0000","1837.0000","514","302677","6.4"
"F0003","株式会社K2","DNK-F","FC事業部","23416573","23416573","0","24.0000","24.0000","24","23416573","100"
"M0002","エヌ・アイ・シー","","","77736","77736","0","5.0000","5.0000","5","77736","100"
"M0002","エヌ・アイ・シー","DNK-E","電力機器事業部","1489200","1489200","806400","426.0000","426.0000","9","682800","45.9"
"M0002","エヌ・アイ・シー","DNK-M","メディア機器事業部","1609208","1609208","875700","301.0000","301.0000","10","733508","45.6"
"M0015","株式会社SAFARI","DNK-E","電力機器事業部","8160410","8160410","6783416","2879.0000","2879.0000","262","1376994","16.9"
"M0019","BITOS株式会社","DNK-E","電力機器事業部","4500000","4500000","0","6.0000","6.0000","6","4500000","100"
"M0019","BITOS株式会社","DNK-M","メディア機器事業部","4800000","4800000","0","6.0000","6.0000","6","4800000","100"
"P0002","株式会社八重瀬堆肥センター","DNK-E","電力機器事業部","907000","907000","694000","2.0000","2.0000","2","213000","23.5"
"P0002","株式会社八重瀬堆肥センター","DNK-P","ポンプ事業部","78140","78140","59268","13.0000","13.0000","3","18872","24.2"
"P0003","株式会社エイチツー","DNK-E","電力機器事業部","218390","218390","171060","5.0000","5.0000","5","47330","21.7"
"P0007","サハシ特殊鋼株式会社","DNK-P","ポンプ事業部","2706250","2706250","2138500","4.0000","4.0000","4","567750","21"
