"得意先コード","得意先名","部門コード","部門名","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","2145000","1850000","1103040","7.0000","7.0000","3","746960","40.4"
"EJR0009","東日本旅客鉄道株式会社　水戸電力設備技術センター","DNK-E","電力機器事業部","440000","440000","402160","2.0000","2.0000","1","37840","8.6"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","20473000","20473000","11812890","50.0000","50.0000","9","8660110","42.3"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","2218420","2218420","1719080","42.0000","42.0000","32","499340","22.5"
"EOT0007","西山電気株式会社","DNK-E","電力機器事業部","910000","910000","598000","1.0000","1.0000","1","312000","34.3"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","101350154","101325414","68071144","5101.0000","5099.0000","1218","33254270","32.8"
"ESB0002","内山電機工業株式会社 西東京日の出工場","DNK-E","電力機器事業部","124644600","121669216","103441659","15431.0000","15428.0000","3497","18227557","15"
"ESB0003","株式会社精美電機製作所","DNK-E","電力機器事業部","42415274","42309354","29988086","4534.0000","4532.0000","997","12321268","29.1"
"ESB0004","日本包装機械株式会社","DNK-E","電力機器事業部","44097985","44083105","39521542","6770.0000","6770.0000","1872","4561563","10.3"
"ESB0005","三誠電気株式会社","DNK-E","電力機器事業部","2418010","2418010","1673926","477.0000","477.0000","121","744084","30.8"
"ESB0006","株式会社横浜コントロール","DNK-E","電力機器事業部","6494780","6494780","4455806","2460.0000","2460.0000","513","2038974","31.4"
"ESB0007","有限会社シンコー電気","DNK-E","電力機器事業部","2777570","2776914","2100960","665.0000","665.0000","190","675954","24.3"
"ESB0009","株式会社日照電機製作所","DNK-E","電力機器事業部","2506150","2506150","2071312","236.0000","236.0000","96","434838","17.4"
"ESB0015","株式会社別川製作所","DNK-E","電力機器事業部","1981000","1981000","1546750","4.0000","4.0000","4","434250","21.9"
