"得意先コード","得意先名","部門コード","部門名","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"ESB0017","東神電機株式会社","DNK-E","電力機器事業部","269570","269570","190706","163.0000","163.0000","27","78864","29.3"
"ESB0018","株式会社制御機器販売","DNK-E","電力機器事業部","3042800","3039435","2411309","1725.0000","1725.0000","480","628126","20.7"
"ESB0019","永楽電気株式会社","DNK-E","電力機器事業部","1477484","1477484","1109894","2559.0000","2559.0000","52","367590","24.9"
"ESB0020","株式会社渡辺電機製作所","DNK-E","電力機器事業部","1220075","1220075","930130","1215.0000","1215.0000","49","289945","23.8"
"ESB0023","株式会社三輝","DNK-E","電力機器事業部","13320","13320","5460","2.0000","2.0000","1","7860","59"
"ESB0025","旭テクネイオン　B","DNK-E","電力機器事業部","4548510","4548510","3722856","2768.0000","2768.0000","645","825654","18.2"
"ESB0027","株式会社東邦製作所","DNK-E","電力機器事業部","341952","341952","275263","61.0000","61.0000","17","66689","19.5"
"ESB0028","三晃電気株式会社","DNK-E","電力機器事業部","44450","44450","29610","35.0000","35.0000","3","14840","33.4"
"ESB0032","株式会社エイエス電気","DNK-E","電力機器事業部","188200","188200","118000","71.0000","71.0000","3","70200","37.3"
"ESC0001","日本電設工業株式会社","DNK-E","電力機器事業部","11795000","11795000","9004510","35.0000","35.0000","9","2790490","23.7"
"ESC0002","日本電設工業株式会社　電力支社","DNK-E","電力機器事業部","4190420","4190420","1990620","16.0000","16.0000","11","2199800","52.5"
"ESC0004","日本電設工業株式会社　大宮支社","DNK-E","電力機器事業部","7623400","7623400","5891560","137.0000","137.0000","48","1731840","22.7"
"ESC0006","日本電設工業株式会社　千葉支社","DNK-E","電力機器事業部","68600","68600","33440","2.0000","2.0000","2","35160","51.3"
"ESC0008","日本電設工業株式会社　高崎支社","DNK-E","電力機器事業部","3305000","3305000","2368880","43.0000","43.0000","30","936120","28.3"
"ESC0010","日本電設工業株式会社　東京工事所","DNK-E","電力機器事業部","8775000","8775000","5547680","85.0000","85.0000","22","3227320","36.8"
"ESC0011","日本電設工業株式会社 平塚工事所","DNK-E","電力機器事業部","3715000","3715000","2048120","10.0000","10.0000","4","1666880","44.9"
"ESC0012","日本電設工業株式会社　八王子工事所","DNK-E","電力機器事業部","2926000","2926000","2034000","48.0000","48.0000","27","892000","30.5"
"ESC0021","ＮＤＫ総合サービス株式会社","DNK-E","電力機器事業部","14318130","14318130","9397632","29.0000","29.0000","17","4920498","34.4"
"ESC0022","大栄電設工業株式会社","DNK-E","電力機器事業部","6759000","6759000","5438640","152.0000","152.0000","53","1320360","19.5"
"ESC0023","八重洲電機工事株式会社","DNK-E","電力機器事業部","493000","493000","389740","11.0000","11.0000","9","103260","20.9"
"ESC0030","日本リーテック株式会社 本店","DNK-E","電力機器事業部","20554000","19980000","18469460","49.0000","49.0000","15","1510540","7.6"
"ESC0031","日本リーテック株式会社 高崎支店","DNK-E","電力機器事業部","9116000","9116000","7438710","43.0000","43.0000","16","1677290","18.4"
"ESC0034","日本リーテック株式会社 中央支店大宮支社","DNK-E","電力機器事業部","3650000","3650000","2921160","64.0000","64.0000","29","728840","20"
"ESC0035","日本リーテック株式会社 横浜支店","DNK-E","電力機器事業部","4977400","4052400","2860070","55.0000","55.0000","18","1192330","29.4"
"ESC0036","日本リーテック株式会社 千葉支店","DNK-E","電力機器事業部","2482000","2378900","1682800","43.0000","43.0000","14","696100","29.3"
"ESC0037","日本リーテック株式会社 八王子支店","DNK-E","電力機器事業部","3654000","3654000","2821750","54.0000","54.0000","29","832250","22.8"
"ESC0051","東日本電気エンジニアリング株式会社 テムズ水戸","DNK-E","電力機器事業部","5491000","5491000","4650930","113.0000","113.0000","24","840070","15.3"
"ESC0052","東日本電気エンジニアリング株式会社 テムズ高崎","DNK-E","電力機器事業部","1390600","1355800","580620","11.0000","11.0000","10","775180","57.2"
"ESC0054","東日本電気エンジニアリング株式会社 テムズ八王子","DNK-E","電力機器事業部","150000","150000","82140","1.0000","1.0000","1","67860","45.2"
"ESC0074","田辺工業株式会社","DNK-E","電力機器事業部","2168000","2168000","1654000","10.0000","10.0000","8","514000","23.7"
"ESC0075","新生テクノス株式会社","DNK-E","電力機器事業部","2683000","2683000","1757980","13.0000","13.0000","13","925020","34.5"
"ESC0076","株式会社関電工 (東京タワー)","DNK-E","電力機器事業部","1200000","1200000","643080","42.0000","42.0000","11","556920","46.4"
"ESC0077","東邦電気工業　購買","DNK-E","電力機器事業部","924000","924000","837770","6.0000","6.0000","4","86230","9.3"
"ESC0080","RB工装株式会社 八王子事業所","DNK-E","電力機器事業部","362100","362100","219720","10.0000","10.0000","6","142380","39.3"
"ESC0090","エーエムワイテクノ株式会社","DNK-E","電力機器事業部","2387000","2387000","1161560","64.0000","64.0000","18","1225440","51.3"
"ESC0111","日本電設工業株式会社　福島支社","DNK-E","電力機器事業部","2770000","2770000","1946350","2.0000","2.0000","2","823650","29.7"
"F0001","株式会社HANABI","DNK-F","FC事業部","1086284","1086284","1015332","520.0000","520.0000","117","70952","6.5"
"M0002","エヌ・アイ・シー","DNK-M","メディア機器事業部","1860600","1860600","1076200","488.0000","488.0000","15","784400","42.2"
"M0015","株式会社SAFARI","DNK-E","電力機器事業部","4139570","3904150","3514075","1807.0000","1774.0000","200","390075","10"
"M0016","株式会社RayArk","DNK-M","メディア機器事業部","8676000","8676000","2892000","5784.0000","5784.0000","12","5784000","66.7"
"M0018","株式会社宍戸国際ゴルフ倶楽部","DNK-M","メディア機器事業部","210000","210000","170670","3.0000","3.0000","3","39330","18.7"
"P0002","株式会社八重瀬堆肥センター","DNK-E","電力機器事業部","1106380","1106000","880491","9.0000","9.0000","8","225509","20.4"
"P0002","株式会社八重瀬堆肥センター","DNK-P","ポンプ事業部","1424880","1424880","851020","29.0000","29.0000","23","573860","40.3"
"P0003","株式会社エイチツー","DNK-E","電力機器事業部","571100","564160","474760","12.0000","12.0000","12","89400","15.8"
"P0005","株式会社イワキ 松本営業所","DNK-P","ポンプ事業部","1875000","1875000","1477000","3.0000","3.0000","3","398000","21.2"
"P0006","株式会社開成","DNK-P","ポンプ事業部","950000","950000","750000","3.0000","3.0000","3","200000","21.1"
"P0007","サハシ特殊鋼株式会社","DNK-P","ポンプ事業部","1730000","1730000","1363950","2.0000","2.0000","2","366050","21.2"
