"部門コード","部門名","商品コード","商品名","仕様・規格","単位","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2021/05","-1657420","-3191220","0","3.0000","3.0000","6","-3191220","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2021/06","-113100","-467627","0","3.0000","3.0000","6","-467627","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2021/07","-3720","-121700","0","1.0000","1.0000","3","-121700","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2021/08","-1469730","-2449590","0","5.0000","5.0000","8","-2449590","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2021/09","-15241900","-16068188","0","14.0000","14.0000","24","-16068188","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2021/10","-9872110","-9872920","0","9.0000","9.0000","10","-9872920","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2021/11","-13212590","-13507590","0","114.0000","114.0000","16","-13507590","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2021/12","-312040","-503216","0","3.0000","3.0000","8","-503216","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2022/01","-3442800","-3654300","0","5.0000","5.0000","8","-3654300","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2022/02","-19779700","-19937059","0","11.0000","11.0000","13","-19937059","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2022/03","-70539110","-70734894","0","18.0000","18.0000","23","-70734894","100"
"DNK-E","電力機器事業部","9999","出精値引き","","式","2022/04","0","-3365","0","0.0000","0.0000","1","-3365","100"
"DNK-E","電力機器事業部","99999","金額一式","","式","2021/06","110000","110000","59000","1.0000","1.0000","1","51000","46.4"
"DNK-E","電力機器事業部","99999","金額一式","","式","2021/08","578000","578000","385000","1.0000","1.0000","1","193000","33.4"
"DNK-E","電力機器事業部","99999","金額一式","","式","2021/09","1060000","1060000","680140","2.0000","2.0000","2","379860","35.8"
"DNK-E","電力機器事業部","99999","金額一式","","式","2021/10","520000","520000","420000","1.0000","1.0000","1","100000","19.2"
"DNK-E","電力機器事業部","99999","金額一式","","式","2021/11","63000","63000","57000","3.0000","3.0000","1","6000","9.5"
"DNK-E","電力機器事業部","99999","金額一式","","式","2021/12","3435000","3435000","2290000","2.0000","2.0000","2","1145000","33.3"
"DNK-E","電力機器事業部","99999","金額一式","","式","2022/01","3435000","3435000","2290000","4.0000","4.0000","4","1145000","33.3"
"DNK-E","電力機器事業部","99999","金額一式","","式","2022/02","116130","116130","57800","3.0000","3.0000","3","58330","50.2"
"DNK-E","電力機器事業部","99999","金額一式","","式","2022/03","6346000","6346000","4010000","6.0000","6.0000","6","2336000","36.8"
"DNK-E","電力機器事業部","E-00000209","B-PS3A (A)","","個","2021/07","37000","37000","29800","2.0000","2.0000","2","7200","19.5"
"DNK-E","電力機器事業部","E-00000209","B-PS3A (A)","","個","2021/08","43300","43300","29800","2.0000","2.0000","2","13500","31.2"
"DNK-E","電力機器事業部","E-00000209","B-PS3A (A)","","個","2021/10","37000","37000","29800","2.0000","2.0000","2","7200","19.5"
"DNK-E","電力機器事業部","E-00000209","B-PS3A (A)","","個","2022/03","24800","24800","14900","1.0000","1.0000","1","9900","39.9"
"DNK-E","電力機器事業部","E-00000285","NF125-ZSV 3P 100A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","2022/03","59700","59700","48700","2.0000","2.0000","1","11000","18.4"
"DNK-E","電力機器事業部","E-00000313","NF250-ZSV 3P 125A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","2021/10","41970","41970","34280","1.0000","1.0000","1","7690","18.3"
"DNK-E","電力機器事業部","E-00000317","NF250-ZSV 3P 150A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","2022/02","41970","41970","34280","1.0000","1.0000","1","7690","18.3"
"DNK-E","電力機器事業部","E-00000477","BAF-05SV (A)","","個","2021/12","3010","3010","1232","7.0000","7.0000","1","1778","59.1"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2021/06","200","200","550","10.0000","10.0000","1","-350","-174.9"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2021/07","2550","2550","1650","30.0000","30.0000","1","900","35.3"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2021/08","25500","25500","16500","300.0000","300.0000","2","9000","35.3"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2021/10","3400","3400","2200","40.0000","40.0000","2","1200","35.3"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2021/11","5100","5100","3300","60.0000","60.0000","1","1800","35.3"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2022/01","12750","12750","8250","150.0000","150.0000","2","4500","35.3"
"DNK-E","電力機器事業部","E-00000481","LC-05SV (A)","","個","2022/02","3400","3400","2200","40.0000","40.0000","1","1200","35.3"
"DNK-E","電力機器事業部","E-00000484","LC-05SV (U)","","個","2021/09","2100","2100","1100","20.0000","20.0000","1","1000","47.6"
"DNK-E","電力機器事業部","E-00000548","NV125-CV(125A) 3P (U)","","個","2021/08","19020","19020","17140","2.0000","2.0000","1","1880","9.9"
"DNK-E","電力機器事業部","E-00000693","NF250-ZCV(250A) 3P (A)","","個","2021/05","28510","28510","23270","1.0000","1.0000","1","5240","18.4"
"DNK-E","電力機器事業部","E-00000826","ZT15B (B)","","個","2021/09","6240","6240","3660","3.0000","3.0000","2","2580","41.3"
"DNK-E","電力機器事業部","E-00000826","ZT15B (B)","","個","2021/12","6240","6240","3660","3.0000","3.0000","1","2580","41.3"
"DNK-E","電力機器事業部","E-00000826","ZT15B (B)","","個","2022/01","6240","6240","3660","3.0000","3.0000","2","2580","41.3"
"DNK-E","電力機器事業部","E-00000826","ZT15B (B)","","個","2022/02","8320","8320","4880","4.0000","4.0000","1","3440","41.3"
"DNK-E","電力機器事業部","E-00000828","ZT15B (U)","","個","2022/01","10260","10260","9180","9.0000","9.0000","2","1080","10.5"
"DNK-E","電力機器事業部","E-00000828","ZT15B (U)","","個","2022/04","6840","6840","6120","6.0000","6.0000","1","720","10.5"
"DNK-E","電力機器事業部","E-00000829","ZT30B (A)","","個","2021/05","8720","8720","7120","4.0000","4.0000","2","1600","18.3"
"DNK-E","電力機器事業部","E-00000829","ZT30B (A)","","個","2021/06","4360","4360","3560","2.0000","2.0000","2","800","18.3"
"DNK-E","電力機器事業部","E-00000829","ZT30B (A)","","個","2021/07","6540","6540","5340","3.0000","3.0000","1","1200","18.3"
"DNK-E","電力機器事業部","E-00000829","ZT30B (A)","","個","2021/10","2180","2180","1780","1.0000","1.0000","1","400","18.3"
"DNK-E","電力機器事業部","E-00000829","ZT30B (A)","","個","2022/01","2180","2180","1780","1.0000","1.0000","1","400","18.3"
"DNK-E","電力機器事業部","E-00000830","ZT30B (B)","","個","2021/12","6760","6760","3960","2.0000","2.0000","2","2800","41.4"
"DNK-E","電力機器事業部","E-00000830","ZT30B (B)","","個","2022/01","6760","6760","3960","2.0000","2.0000","1","2800","41.4"
"DNK-E","電力機器事業部","E-00000830","ZT30B (B)","","個","2022/03","6760","6760","3960","2.0000","2.0000","1","2800","41.4"
"DNK-E","電力機器事業部","E-00000832","ZT30B (U)","","個","2021/09","66600","66600","59760","36.0000","36.0000","1","6840","10.3"
"DNK-E","電力機器事業部","E-00000832","ZT30B (U)","","個","2022/01","9250","9250","8300","5.0000","5.0000","2","950","10.3"
"DNK-E","電力機器事業部","E-00000832","ZT30B (U)","","個","2022/03","192400","192400","172640","104.0000","104.0000","9","19760","10.3"
"DNK-E","電力機器事業部","E-00000832","ZT30B (U)","","個","2022/04","55500","55500","49800","30.0000","30.0000","4","5700","10.3"
"DNK-E","電力機器事業部","E-00000833","ZT40B (A)","","個","2021/09","3400","3400","2770","1.0000","1.0000","1","630","18.5"
"DNK-E","電力機器事業部","E-00000833","ZT40B (A)","","個","2021/10","3400","3400","2770","1.0000","1.0000","1","630","18.5"
"DNK-E","電力機器事業部","E-00000834","ZT40B (B)","","個","2022/01","10540","10540","6160","2.0000","2.0000","2","4380","41.6"
"DNK-E","電力機器事業部","E-00000834","ZT40B (B)","","個","2022/03","5270","5270","3080","1.0000","1.0000","1","2190","41.6"
"DNK-E","電力機器事業部","E-00000836","ZT40B (U)","","個","2021/09","46080","46080","41440","16.0000","16.0000","1","4640","10.1"
"DNK-E","電力機器事業部","E-00000836","ZT40B (U)","","個","2022/01","2880","2880","2590","1.0000","1.0000","1","290","10.1"
"DNK-E","電力機器事業部","E-00000836","ZT40B (U)","","個","2022/03","178560","178560","160580","62.0000","62.0000","7","17980","10.1"
"DNK-E","電力機器事業部","E-00000836","ZT40B (U)","","個","2022/04","218880","218880","196840","76.0000","76.0000","3","22040","10.1"
"DNK-E","電力機器事業部","E-00000837","ZT60B (A)","","個","2021/07","9370","9370","7630","1.0000","1.0000","1","1740","18.6"
"DNK-E","電力機器事業部","E-00000837","ZT60B (A)","","個","2022/01","9370","9370","7630","1.0000","1.0000","1","1740","18.6"
"DNK-E","電力機器事業部","E-00000840","ZT60B (U)","","個","2021/09","31680","31680","28480","4.0000","4.0000","1","3200","10.1"
"DNK-E","電力機器事業部","E-00000840","ZT60B (U)","","個","2022/01","31680","31680","28480","4.0000","4.0000","2","3200","10.1"
"DNK-E","電力機器事業部","E-00000840","ZT60B (U)","","個","2022/03","72240","72240","64080","9.0000","9.0000","6","8160","11.3"
"DNK-E","電力機器事業部","E-00000840","ZT60B (U)","","個","2022/04","174240","174240","156640","22.0000","22.0000","3","17600","10.1"
"DNK-E","電力機器事業部","E-00000856","ZTA1200A (U)","","個","2022/03","362460","362460","238590","3.0000","3.0000","1","123870","34.2"
"DNK-E","電力機器事業部","E-00000856","ZTA1200A (U)","","個","2022/04","241640","241640","159060","2.0000","2.0000","2","82580","34.2"
"DNK-E","電力機器事業部","E-00000866","NV-ZBA 100-200V 100,200,500A　時延(B)","","個","2021/09","14300","14300","8400","2.0000","2.0000","1","5900","41.3"
"DNK-E","電力機器事業部","E-00000870","NV-ZBA 100-200V 30,100,200,500A　高速(B)","","個","2021/07","18540","18540","10800","3.0000","3.0000","1","7740","41.7"
"DNK-E","電力機器事業部","E-00000870","NV-ZBA 100-200V 30,100,200,500A　高速(B)","","個","2021/09","6180","6180","3600","1.0000","1.0000","1","2580","41.7"
"DNK-E","電力機器事業部","E-00000870","NV-ZBA 100-200V 30,100,200,500A　高速(B)","","個","2021/12","24720","24720","14400","4.0000","4.0000","1","10320","41.7"
"DNK-E","電力機器事業部","E-00000870","NV-ZBA 100-200V 30,100,200,500A　高速(B)","","個","2022/01","43260","43260","25200","7.0000","7.0000","2","18060","41.7"
"DNK-E","電力機器事業部","E-00000870","NV-ZBA 100-200V 30,100,200,500A　高速(B)","","個","2022/02","24720","24720","14400","4.0000","4.0000","1","10320","41.7"
"DNK-E","電力機器事業部","E-00000870","NV-ZBA 100-200V 30,100,200,500A　高速(B)","","個","2022/03","18540","18540","10800","3.0000","3.0000","2","7740","41.7"
"DNK-E","電力機器事業部","E-00000872","NV-ZBA 100-200V 30,100,200,500A　高速(U)","","個","2022/01","64030","64030","57380","19.0000","19.0000","3","6650","10.4"
"DNK-E","電力機器事業部","E-00000872","NV-ZBA 100-200V 30,100,200,500A　高速(U)","","個","2022/02","6740","6740","6040","2.0000","2.0000","1","700","10.4"
"DNK-E","電力機器事業部","E-00000890","NF30-FAU 2P 5A (B)","","個","2021/10","10900","10900","4600","5.0000","5.0000","1","6300","57.8"
"DNK-E","電力機器事業部","E-00000898","NF30-FAU 2P 10A (B)","","個","2021/10","8720","8720","3680","4.0000","4.0000","1","5040","57.8"
"DNK-E","電力機器事業部","E-00000902","NF30-FAU 2P 15A (B)","","個","2021/10","8720","8720","3680","4.0000","4.0000","1","5040","57.8"
"DNK-E","電力機器事業部","E-00000906","NF30-FAU 2P 20A (B)","","個","2021/10","17440","17440","7360","8.0000","8.0000","1","10080","57.8"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2021/05","2760","2760","2142","3.0000","3.0000","2","618","22.4"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2021/06","930","930","714","1.0000","1.0000","1","216","23.2"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2021/07","1840","1840","1428","2.0000","2.0000","1","412","22.4"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2021/08","3710","3710","2856","4.0000","4.0000","2","854","23"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2021/09","4600","4600","3570","5.0000","5.0000","4","1030","22.4"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2021/10","920","920","714","1.0000","1.0000","1","206","22.4"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2021/11","8280","8280","6426","9.0000","9.0000","7","1854","22.4"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2021/12","6440","6440","4998","7.0000","7.0000","3","1442","22.4"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2022/01","1840","1840","1428","2.0000","2.0000","1","412","22.4"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2022/02","26780","26780","20706","29.0000","29.0000","6","6074","22.7"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2022/03","1840","1840","1428","2.0000","2.0000","1","412","22.4"
"DNK-E","電力機器事業部","E-00000985","NF30-FA 2P 5A (A)","","個","2022/04","1840","1840","1428","2.0000","2.0000","1","412","22.4"
"DNK-E","電力機器事業部","E-00000986","NF30-FA 2P 5A (B)","","個","2021/07","920","920","828","1.0000","1.0000","1","92","10"
"DNK-E","電力機器事業部","E-00000986","NF30-FA 2P 5A (B)","","個","2021/08","1240","1240","828","1.0000","1.0000","1","412","33.2"
"DNK-E","電力機器事業部","E-00000986","NF30-FA 2P 5A (B)","","個","2021/10","3680","3680","3312","4.0000","4.0000","1","368","10"
"DNK-E","電力機器事業部","E-00000986","NF30-FA 2P 5A (B)","","個","2021/11","3680","3680","3312","4.0000","4.0000","1","368","10"
"DNK-E","電力機器事業部","E-00000986","NF30-FA 2P 5A (B)","","個","2022/01","2760","2760","2484","3.0000","3.0000","1","276","10"
"DNK-E","電力機器事業部","E-00000986","NF30-FA 2P 5A (B)","","個","2022/04","920","920","828","1.0000","1.0000","1","92","10"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2021/05","5450","5450","3475","5.0000","5.0000","1","1975","36.2"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2021/06","-2040","-2040","0","0.0000","0.0000","2","-2040","100"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2021/11","5450","5450","3475","5.0000","5.0000","1","1975","36.2"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2022/02","9640","9640","6255","9.0000","9.0000","2","3385","35.1"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2022/03","1090","1090","695","1.0000","1.0000","1","395","36.2"
"DNK-E","電力機器事業部","E-00000988","NF30-FA 2P 5A (U)","","個","2022/04","32700","32700","20850","30.0000","30.0000","1","11850","36.2"
"DNK-E","電力機器事業部","E-00000989","NF30-FA 3P 5A (A)","","個","2021/05","3930","3930","3000","3.0000","3.0000","3","930","23.7"
"DNK-E","電力機器事業部","E-00000989","NF30-FA 3P 5A (A)","","個","2021/11","2620","2620","2000","2.0000","2.0000","1","620","23.7"
"DNK-E","電力機器事業部","E-00000989","NF30-FA 3P 5A (A)","","個","2021/12","6550","6550","5000","5.0000","5.0000","3","1550","23.7"
"DNK-E","電力機器事業部","E-00000989","NF30-FA 3P 5A (A)","","個","2022/01","2620","2620","2000","2.0000","2.0000","1","620","23.7"
"DNK-E","電力機器事業部","E-00000989","NF30-FA 3P 5A (A)","","個","2022/02","26200","26200","20000","20.0000","20.0000","1","6200","23.7"
"DNK-E","電力機器事業部","E-00000989","NF30-FA 3P 5A (A)","","個","2022/04","1310","1310","1000","1.0000","1.0000","1","310","23.7"
"DNK-E","電力機器事業部","E-00000990","NF30-FA 3P 5A (B)","","個","2021/05","90480","90480","60320","52.0000","52.0000","11","30160","33.3"
"DNK-E","電力機器事業部","E-00000990","NF30-FA 3P 5A (B)","","個","2021/08","59160","59160","39440","34.0000","34.0000","5","19720","33.3"
"DNK-E","電力機器事業部","E-00000990","NF30-FA 3P 5A (B)","","個","2021/09","20880","20880","13920","12.0000","12.0000","5","6960","33.3"
"DNK-E","電力機器事業部","E-00000990","NF30-FA 3P 5A (B)","","個","2021/10","45240","45240","30160","26.0000","26.0000","7","15080","33.3"
"DNK-E","電力機器事業部","E-00000990","NF30-FA 3P 5A (B)","","個","2021/11","107880","107880","71920","62.0000","62.0000","1","35960","33.3"
"DNK-E","電力機器事業部","E-00000990","NF30-FA 3P 5A (B)","","個","2021/12","15660","15660","10440","9.0000","9.0000","3","5220","33.3"
