"部門コード","部門名","集計年月","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"DNK-E","電力機器事業部","2021/05","32712255","31178455","25119732","1992.0000","1992.0000","606","6058723","19.4"
"DNK-E","電力機器事業部","2021/06","31512335","31131802","23198358","4022.0000","4022.0000","858","7933444","25.5"
"DNK-E","電力機器事業部","2021/07","25890760","25772780","20230102","2335.0000","2335.0000","761","5542678","21.5"
"DNK-E","電力機器事業部","2021/08","30588883","29503103","24458808","5212.0000","5210.0000","940","5044295","17.1"
"DNK-E","電力機器事業部","2021/09","55718590","54892302","41870743","3337.0000","3337.0000","1106","13021559","23.7"
"DNK-E","電力機器事業部","2021/10","54483661","54399451","40075527","3531.0000","3521.0000","1014","14323924","26.3"
"DNK-E","電力機器事業部","2021/11","45615264","45322864","33197109","5163.0000","5161.0000","771","12125755","26.8"
"DNK-E","電力機器事業部","2021/12","26840965","26649789","20860461","2908.0000","2908.0000","809","5789328","21.7"
"DNK-E","電力機器事業部","2022/01","39668754","39420734","28353556","4452.0000","4448.0000","853","11067178","28.1"
"DNK-E","電力機器事業部","2022/02","49622532","49331433","34210105","5112.0000","5100.0000","958","15121328","30.7"
"DNK-E","電力機器事業部","2022/03","84336270","84131386","66008018","4585.0000","4578.0000","1093","18123368","21.5"
"DNK-E","電力機器事業部","2022/04","22772735","22729320","18459312","4706.0000","4703.0000","732","4270008","18.8"
"DNK-M","メディア機器事業部","2021/05","976800","976800","430600","521.0000","521.0000","3","546200","55.9"
"DNK-M","メディア機器事業部","2021/06","851700","851700","307300","521.0000","521.0000","2","544400","63.9"
"DNK-M","メディア機器事業部","2021/07","941700","941700","392900","523.0000","523.0000","3","548800","58.3"
"DNK-M","メディア機器事業部","2021/08","858300","858300","310700","523.0000","523.0000","2","547600","63.8"
"DNK-M","メディア機器事業部","2021/09","845100","845100","303900","519.0000","519.0000","2","541200","64"
"DNK-M","メディア機器事業部","2021/10","855000","855000","309000","522.0000","522.0000","2","546000","63.9"
"DNK-M","メディア機器事業部","2021/11","858300","858300","310700","523.0000","523.0000","2","547600","63.8"
"DNK-M","メディア機器事業部","2021/12","903300","903300","353500","524.0000","524.0000","3","549800","60.9"
"DNK-M","メディア機器事業部","2022/01","861600","861600","312400","524.0000","524.0000","2","549200","63.7"
"DNK-M","メディア機器事業部","2022/02","861600","861600","312400","524.0000","524.0000","2","549200","63.7"
"DNK-M","メディア機器事業部","2022/03","1071600","1071600","483070","527.0000","527.0000","5","588530","54.9"
"DNK-M","メディア機器事業部","2022/04","861600","861600","312400","524.0000","524.0000","2","549200","63.7"
"DNK-P","ポンプ事業部","2021/06","500000","500000","416943","11.0000","11.0000","9","83057","16.6"
"DNK-P","ポンプ事業部","2021/08","950000","950000","750000","3.0000","3.0000","3","200000","21.1"
"DNK-P","ポンプ事業部","2021/10","4142200","4142200","3054252","15.0000","15.0000","14","1087948","26.3"
"DNK-P","ポンプ事業部","2021/11","349200","349200","190000","1.0000","1.0000","1","159200","45.6"
"DNK-P","ポンプ事業部","2022/04","38480","38480","30775","7.0000","7.0000","4","7705","20"
"DNK-F","FC事業部","2022/03","926302","926302","865772","350.0000","350.0000","82","60530","6.5"
"DNK-F","FC事業部","2022/04","159982","159982","149560","170.0000","170.0000","35","10422","6.5"
